W,I
550.046521001757,193
550.13451268730194,207
550.22250390041143,204
550.31049464090393,205
550.39848490859765,198
550.486474703311,201
550.57446402486255,193
550.66245287307038,191
550.750441247753,188
550.83842914872889,189
550.92641657581623,204
551.01440352883355,197
551.10239000759918,202
551.19037601193168,185
551.27836154164925,207
551.36634659657034,189
551.45433117651339,201
551.542315281297,211
551.63029891073927,219
551.71828206465887,212
551.80626474287419,232
551.89424694520358,195
551.98222867146558,183
552.07020992147864,198
552.15819069506108,188
552.24617099203147,218
552.33415081220824,220
552.42213015541,215
552.510109021455,215
552.598087410162,215
552.68606532134913,227
552.77404275483525,210
552.86201971043852,199
552.94999618797772,203
553.037972187271,216
553.12594770813735,211
553.21392275039477,206
553.30189731386224,204
553.389871398358,199
553.47784500370074,215
553.56581812970876,188
553.65379077620094,201
553.74176294299548,226
553.82973462991117,207
553.91770583676634,213
554.00567656337978,217
554.09364680956992,208
554.18161657515532,222
554.26958585995465,200
554.35755466378657,226
554.4455229864692,218
554.53349082782177,214
554.62145818766237,231
554.70942506580991,230
554.79739146208283,234
554.88535737629968,218
554.97332280827925,214
555.06128775784,230
555.14925222480065,228
555.23721620897993,244
555.32517971019615,207
555.41314272826833,236
555.50110526301478,231
555.58906731425418,213
555.67702888180554,238
555.76498996548719,255
555.85295056511791,222
555.94091068051625,234
556.0288703115009,228
556.11682945789073,230
556.20478811950431,233
556.2927462961602,239
556.38070398767729,224
556.46866119387414,242
556.55661791456942,224
556.6445741495819,246
556.73252989873038,257
556.8204851618334,241
556.90843993871,243
556.99639422917846,224
557.08434803305784,247
557.17230135016678,229
557.26025418032407,257
557.34820652334838,246
557.4361583790585,267
557.524109747273,252
557.61206062781093,244
557.70001102049093,3129
557.78796092513176,1711
557.8759103415523,263
557.96385926957112,240
558.05180770900722,269
558.13975565967928,260
558.22770312140619,245
558.31565009400663,259
558.40359657729948,249
558.49154257110342,276
558.57948807523746,263
558.6674330895205,262
558.75537761377086,298
558.843321647808,277
558.93126519145039,271
559.0192082445169,280
559.10715080682644,258
559.195092878198,265
559.28303445845029,274
559.37097554740194,260
559.45891614487221,267
559.54685625067987,282
559.63479586464359,291
559.7227349865824,266
559.8106736163154,260
559.898611753661,278
559.98654939843857,278
560.07448655046664,289
560.16242320956439,264
560.2503593755506,284
560.33829504824428,288
560.4262302274642,290
560.5141649130295,288
560.602099104759,310
560.69003280247125,323
560.777966005986,303
560.86589871512149,318
560.95383092969712,290
561.04176264953162,305
561.129693874444,326
561.21762460425327,329
561.30555483877833,269
561.39348457783808,294
561.48141382125175,316
561.56934256883824,312
561.65727082041644,300
561.74519857580538,309
561.83312583482416,329
561.9210525972918,308
562.008978863027,319
562.09690463184916,323
562.18482990357722,309
562.27275467803,316
562.36067895502674,334
562.44860273438644,292
562.53652601592808,305
562.62444879947088,341
562.71237108483365,305
562.8002928718355,351
562.88821416029566,319
562.976134950033,314
563.06405524086688,306
563.15197503261606,352
563.23989432509973,332
563.3278131181371,359
563.4157314115472,344
563.503649205149,329
563.59156649876172,350
563.67948329220462,323
563.76739958529652,360
563.85531537785675,351
563.94323066970435,323
564.03114546065842,348
564.1190597505381,357
564.20697353916262,346
564.2948868263511,377
564.38279961192279,332
564.47071189569647,349
564.55862367749171,359
564.64653495712753,346
564.73444573442293,365
564.82235600919751,377
564.91026578127014,338
564.99817505046,363
565.08608381658644,377
565.17399207946846,400
565.26189983892539,378
565.34980709477645,367
565.43771384684089,379
565.52562009493772,378
565.61352583888629,383
565.701431078506,384
565.78933581361593,365
565.877240044035,402
565.965143769583,399
566.05304699007911,391
566.14094970534234,388
566.22885191519185,404
566.31675361944724,390
566.40465481792762,390
566.49255551045223,401
566.58045569684054,409
566.66835537691156,412
566.75625455048475,399
566.84415321737924,411
566.93205137741461,433
567.01994903041,403
567.10784617618469,456
567.19574281455823,465
567.28363894534948,414
567.37153456837825,422
567.45942968346367,401
567.547324290425,397
567.63521838908161,421
567.723111979253,431
567.81100506075836,429
567.898897633417,447
567.98678969704861,435
568.07468125147227,442
568.16257229650751,453
568.25046283197344,429
568.33835285768987,422
568.4262423734757,431
568.51413137915074,459
568.60201987453422,440
568.68990785944538,432
568.77779533370392,463
568.8656822971293,451
568.95356874954052,487
569.0414546907574,462
569.12934012059918,475
569.21722503888543,478
569.30510944543551,481
569.39299334006876,461
569.48087672260488,469
569.56875959286322,476
569.65664195066313,514
569.74452379582419,492
569.832405128166,492
569.92028594750764,490
570.008166253669,475
570.09604604646938,538
570.1839253257283,488
570.27180409126527,516
570.35968234289976,515
570.44756008045135,541
570.53543730373951,531
570.62331401258382,530
570.71119020680374,551
570.79906588621884,524
570.88694105064849,553
570.9748156999126,556
571.0626898338304,559
571.15056345222149,549
571.23843655490543,582
571.326309141702,579
571.41418121243055,593
571.50205276691065,565
571.58992380496193,577
571.677794326404,552
571.76566433105643,593
571.85353381873881,627
571.94140278927068,613
572.02927124247174,607
572.11713917816155,645
572.20500659615982,626
572.292873496286,613
572.38073987835992,650
572.46860574220113,687
572.55647108762912,656
572.64433591446368,653
572.7322002225244,700
572.820064011631,709
572.90792728160318,755
572.99579003226052,751
573.08365226342255,788
573.1715139749092,824
573.25937516654,850
573.34723583813479,938
573.435095989513,1031
573.52295562049449,1230
573.610814730899,1783
573.69867332054628,3881
573.78653138925574,10343
573.87438893684737,20943
573.96224596314084,21868
574.05010246795587,13986
574.13795845111213,6333
574.22581391242943,2679
574.31366885172758,1571
574.40152326882617,1203
574.4893771635451,1101
574.57723053570385,1077
574.66508338512267,1030
574.75293571162081,1037
574.84078751501852,1037
574.92863879513527,1026
575.01648955179087,1053
575.10433978480512,1046
575.19218949399806,1092
575.28003867918915,1079
575.36788734019831,1100
575.45573547684546,1123
575.54358308895041,1121
575.63143017633286,1155
575.71927673881271,1179
575.80712277620978,1198
575.894968288344,1249
575.98281327503514,1275
576.07065773610293,1296
576.15850167136739,1299
576.24634508064844,1322
576.33418796376566,1282
576.42203032053919,1330
576.50987215078885,1368
576.59771345433444,1425
576.68555423099588,1385
576.77339448059331,1405
576.86123420294609,1386
576.9490733978746,1388
577.03691206519863,1397
577.12475020473812,1394
577.21258781631275,1339
577.30042489974267,1345
577.38826145484791,1385
577.47609748144828,1402
577.56393297936347,1312
577.65176794841386,1337
577.739602388419,1293
577.82743629919923,1270
577.91526968057428,1265
578.00310253236432,1285
578.09093485438916,1236
578.17876664646872,1219
578.26659790842314,1223
578.35442864007234,1230
578.44225884123637,1169
578.530088511735,1189
578.61791765138855,1153
578.705746260017,1084
578.79357433744019,1137
578.88140188347813,1138
578.9692288979511,1022
579.057055380679,1081
579.14488133148188,1109
579.23270675017955,1073
579.32053163659248,1062
579.40835599054037,1063
579.49617981184349,1079
579.58400310032187,1010
579.67182585579565,1024
579.75964807808475,979
579.84746976700933,1019
579.93529092238953,985
580.02311154404515,1053
580.11093163179692,1048
580.19875118546429,1010
580.28657020486764,977
