W,I
550.046521001757,63
550.13451268730194,65
550.22250390041143,59
550.31049464090393,60
550.39848490859765,51
550.486474703311,34
550.57446402486255,44
550.66245287307038,51
550.750441247753,56
550.83842914872889,51
550.92641657581623,36
551.01440352883355,56
551.10239000759918,40
551.19037601193168,53
551.27836154164925,54
551.36634659657034,39
551.45433117651339,55
551.542315281297,51
551.63029891073927,66
551.71828206465887,58
551.80626474287419,57
551.89424694520358,52
551.98222867146558,46
552.07020992147864,39
552.15819069506108,47
552.24617099203147,52
552.33415081220824,49
552.42213015541,54
552.510109021455,49
552.598087410162,57
552.68606532134913,35
552.77404275483525,73
552.86201971043852,38
552.94999618797772,55
553.037972187271,53
553.12594770813735,56
553.21392275039477,47
553.30189731386224,50
553.389871398358,58
553.47784500370074,51
553.56581812970876,46
553.65379077620094,50
553.74176294299548,59
553.82973462991117,57
553.91770583676634,50
554.00567656337978,44
554.09364680956992,46
554.18161657515532,45
554.26958585995465,51
554.35755466378657,49
554.4455229864692,42
554.53349082782177,49
554.62145818766237,52
554.70942506580991,36
554.79739146208283,45
554.88535737629968,44
554.97332280827925,54
555.06128775784,41
555.14925222480065,58
555.23721620897993,50
555.32517971019615,44
555.41314272826833,50
555.50110526301478,30
555.58906731425418,40
555.67702888180554,49
555.76498996548719,40
555.85295056511791,55
555.94091068051625,61
556.0288703115009,50
556.11682945789073,60
556.20478811950431,67
556.2927462961602,48
556.38070398767729,54
556.46866119387414,57
556.55661791456942,47
556.6445741495819,45
556.73252989873038,50
556.8204851618334,63
556.90843993871,40
556.99639422917846,56
557.08434803305784,44
557.17230135016678,46
557.26025418032407,61
557.34820652334838,60
557.4361583790585,53
557.524109747273,51
557.61206062781093,40
557.70001102049093,49
557.78796092513176,52
557.8759103415523,49
557.96385926957112,48
558.05180770900722,47
558.13975565967928,51
558.22770312140619,47
558.31565009400663,57
558.40359657729948,40
558.49154257110342,54
558.57948807523746,63
558.6674330895205,49
558.75537761377086,48
558.843321647808,57
558.93126519145039,48
559.0192082445169,39
559.10715080682644,62
559.195092878198,42
559.28303445845029,51
559.37097554740194,36
559.45891614487221,56
559.54685625067987,53
559.63479586464359,51
559.7227349865824,52
559.8106736163154,58
559.898611753661,57
559.98654939843857,58
560.07448655046664,53
560.16242320956439,61
560.2503593755506,56
560.33829504824428,52
560.4262302274642,54
560.5141649130295,55
560.602099104759,43
560.69003280247125,53
560.777966005986,52
560.86589871512149,57
560.95383092969712,56
561.04176264953162,52
561.129693874444,64
561.21762460425327,62
561.30555483877833,46
561.39348457783808,40
561.48141382125175,65
561.56934256883824,67
561.65727082041644,58
561.74519857580538,54
561.83312583482416,60
561.9210525972918,49
562.008978863027,48
562.09690463184916,46
562.18482990357722,57
562.27275467803,66
562.36067895502674,54
562.44860273438644,60
562.53652601592808,58
562.62444879947088,44
562.71237108483365,60
562.8002928718355,64
562.88821416029566,60
562.976134950033,60
563.06405524086688,48
563.15197503261606,69
563.23989432509973,71
563.3278131181371,57
563.4157314115472,77
563.503649205149,48
563.59156649876172,51
563.67948329220462,44
563.76739958529652,49
563.85531537785675,49
563.94323066970435,52
564.03114546065842,57
564.1190597505381,63
564.20697353916262,50
564.2948868263511,56
564.38279961192279,62
564.47071189569647,68
564.55862367749171,65
564.64653495712753,57
564.73444573442293,69
564.82235600919751,53
564.91026578127014,64
564.99817505046,56
565.08608381658644,57
565.17399207946846,62
565.26189983892539,67
565.34980709477645,59
565.43771384684089,65
565.52562009493772,59
565.61352583888629,71
565.701431078506,58
565.78933581361593,68
565.877240044035,63
565.965143769583,69
566.05304699007911,68
566.14094970534234,67
566.22885191519185,83
566.31675361944724,66
566.40465481792762,67
566.49255551045223,56
566.58045569684054,67
566.66835537691156,81
566.75625455048475,71
566.84415321737924,81
566.93205137741461,63
567.01994903041,69
567.10784617618469,63
567.19574281455823,73
567.28363894534948,52
567.37153456837825,77
567.45942968346367,76
567.547324290425,70
567.63521838908161,70
567.723111979253,71
567.81100506075836,75
567.898897633417,86
567.98678969704861,65
568.07468125147227,71
568.16257229650751,67
568.25046283197344,75
568.33835285768987,67
568.4262423734757,66
568.51413137915074,62
568.60201987453422,83
568.68990785944538,80
568.77779533370392,70
568.8656822971293,80
568.95356874954052,75
569.0414546907574,64
569.12934012059918,80
569.21722503888543,74
569.30510944543551,65
569.39299334006876,74
569.48087672260488,58
569.56875959286322,63
569.65664195066313,84
569.74452379582419,65
569.832405128166,86
569.92028594750764,90
570.008166253669,79
570.09604604646938,97
570.1839253257283,78
570.27180409126527,95
570.35968234289976,76
570.44756008045135,89
570.53543730373951,84
570.62331401258382,89
570.71119020680374,75
570.79906588621884,86
570.88694105064849,68
570.9748156999126,89
571.0626898338304,88
571.15056345222149,89
571.23843655490543,75
571.326309141702,93
571.41418121243055,86
571.50205276691065,62
571.58992380496193,73
571.677794326404,89
571.76566433105643,76
571.85353381873881,79
571.94140278927068,89
572.02927124247174,80
572.11713917816155,82
572.20500659615982,94
572.292873496286,94
572.38073987835992,101
572.46860574220113,103
572.55647108762912,103
572.64433591446368,113
572.7322002225244,97
572.820064011631,109
572.90792728160318,126
572.99579003226052,117
573.08365226342255,127
573.1715139749092,159
573.25937516654,176
573.34723583813479,195
573.435095989513,239
573.52295562049449,332
573.610814730899,598
573.69867332054628,1623
573.78653138925574,4694
573.87438893684737,9267
573.96224596314084,9981
574.05010246795587,6466
574.13795845111213,3024
574.22581391242943,1198
574.31366885172758,517
574.40152326882617,278
574.4893771635451,219
574.57723053570385,194
574.66508338512267,169
574.75293571162081,166
574.84078751501852,162
574.92863879513527,138
575.01648955179087,148
575.10433978480512,122
575.19218949399806,122
575.28003867918915,135
575.36788734019831,142
575.45573547684546,135
575.54358308895041,134
575.63143017633286,140
575.71927673881271,127
575.80712277620978,147
575.894968288344,130
575.98281327503514,129
576.07065773610293,132
576.15850167136739,141
576.24634508064844,149
576.33418796376566,138
576.42203032053919,144
576.50987215078885,148
576.59771345433444,131
576.68555423099588,152
576.77339448059331,146
576.86123420294609,141
576.9490733978746,150
577.03691206519863,135
577.12475020473812,132
577.21258781631275,149
577.30042489974267,142
577.38826145484791,123
577.47609748144828,133
577.56393297936347,117
577.65176794841386,139
577.739602388419,147
577.82743629919923,126
577.91526968057428,115
578.00310253236432,124
578.09093485438916,127
578.17876664646872,126
578.26659790842314,134
578.35442864007234,117
578.44225884123637,146
578.530088511735,116
578.61791765138855,147
578.705746260017,137
578.79357433744019,136
578.88140188347813,139
578.9692288979511,127
579.057055380679,108
579.14488133148188,153
579.23270675017955,131
579.32053163659248,136
579.40835599054037,143
579.49617981184349,141
579.58400310032187,133
579.67182585579565,138
579.75964807808475,129
579.84746976700933,129
579.93529092238953,154
580.02311154404515,131
580.11093163179692,117
580.19875118546429,121
580.28657020486764,119
580.37438868982713,141
580.46220664016289,123
580.550024055695,132
580.63784093624361,124
580.72565728162863,122
580.81347309167074,126
580.90128836618942,123
580.98910310500537,121
581.07691730793852,114
581.16473097480912,119
581.25254410543721,117
581.340356699643,113
581.42816875724691,124
581.5159802780687,144
581.6037912619289,135
581.69160170864757,117
581.779411618045,119
581.86722098994142,117
581.95502982415678,142
582.04283812051153,138
582.13064587882593,119
582.21845309892024,139
582.30625978061448,130
582.394065923729,108
582.48187152808418,117
582.56967659350016,133
582.65748111979713,118
582.74528510679545,124
582.83308855431528,135
582.92089146217711,129
583.00869383020108,140
583.09649565820735,110
583.18429694601639,124
583.27209769344859,108
583.35989790032409,130
583.44769756646315,123
583.53549669168626,138
583.62329527581358,117
583.71109331866546,142
583.79889082006241,133
583.88668777982457,145
583.97448419777231,126
584.06228007372613,137
584.15007540750616,116
584.2378701989328,136
584.32566444782663,130
584.4134581540078,142
584.50125131729692,146
584.589043937514,131
584.67683601447959,122
584.76462754801435,125
584.85241853793832,111
584.940208984072,122
585.027998886236,114
585.11578824425044,128
585.20357705793583,131
585.29136532711289,132
585.37915305160152,137
585.46694023122257,127
585.55472686579628,131
585.64251295514327,129
585.7302984990838,111
585.81808349743858,126
585.90586795002775,137
585.993651856672,149
586.08143521719182,149
586.16921803140747,131
586.2570002991398,123
586.344782020209,132
586.4325631944356,146
586.52034382164027,152
586.60812390164324,131
586.69590343426535,139
586.783682419327,121
586.87146085664858,133
586.9592387460508,129
587.04701608735411,135
587.13479288037911,125
587.22256912494629,135
587.31034482087614,132
587.39811996798949,147
587.48589456610659,146
587.57366861504806,127
587.66144211463472,137
587.749215064687,126
587.83698746502535,157
587.92475931547051,126
588.01253061584316,151
588.10030136596379,144
588.188071565653,149
588.27584121473137,146
588.36361031301965,163
588.45137886033842,134
588.53914685650818,126
588.62691430134987,166
588.714681194684,134
588.80244753633087,129
588.89021332611173,144
588.97797856384682,148
589.06574324935684,137
589.15350738246275,153
589.2412709629848,149
589.32903399074416,129
589.41679646556111,146
589.50455838725657,154
589.59231975565115,119
589.68008057056568,157
589.76784083182065,154
589.85560053923689,159
589.94335969263511,151
590.03111829183615,150
590.11887633666072,134
590.20663382692942,134
590.29439076246308,159
590.38214714308242,138
590.46990296860815,132
590.55765823886134,145
590.64541295366223,132
590.73316711283212,131
590.82092071619149,147
590.90867376356118,129
590.996426254762,141
591.08417818961482,155
591.1719295679402,129
591.25968038955921,162
591.34743065429268,148
591.43518036196122,164
591.52292951238576,159
591.61067810538714,151
591.69842614078618,163
591.78617361840372,169
591.87392053806059,160
591.96166689957772,144
592.049412702776,158
592.137157947476,142
592.224902633499,149
592.31264676066564,158
592.4003903287969,157
592.48813333771352,151
592.57587578723644,137
592.66361767718672,170
592.75135900738519,162
592.83909977765268,166
592.92683998781013,184
593.01457963767848,162
593.10231872707868,156
593.19005725583168,149
593.2777952237584,159
593.3655326306797,175
593.45326947641661,155
593.5410057607902,153
593.62874148362118,158
593.71647664473085,162
593.80421124393979,146
593.8919452810693,183
593.97967875594009,174
594.06741166837344,171
594.15514401819019,181
594.24287580521138,175
594.330607029258,179
594.41833769015113,179
594.50606778771157,190
594.59379732176058,185
594.6815262921192,197
594.76925469860839,182
594.85698254104921,188
594.94470981926258,189
595.0324365330697,196
595.12016268229161,205
595.20788826674948,195
595.295613286264,220
595.38333774065677,223
595.47106162974842,242
595.55878495336037,224
595.64650771131357,220
595.73422990342908,198
595.82195152952818,207
595.90967258943181,216
595.997393082961,226
596.08511300993712,208
596.17283237018125,212
596.26055116351438,180
596.34826938975777,166
596.43598704873261,184
596.52370414026,205
596.61142066416085,210
596.69913662025681,185
596.78685200836867,197
596.87456682831771,189
596.96228107992522,175
