W,I
550.046521001757,119
550.13451268730194,133
550.22250390041143,119
550.31049464090393,133
550.39848490859765,122
550.486474703311,114
550.57446402486255,127
550.66245287307038,142
550.750441247753,145
550.83842914872889,108
550.92641657581623,128
551.01440352883355,107
551.10239000759918,137
551.19037601193168,132
551.27836154164925,128
551.36634659657034,124
551.45433117651339,145
551.542315281297,132
551.63029891073927,129
551.71828206465887,132
551.80626474287419,116
551.89424694520358,120
551.98222867146558,123
552.07020992147864,130
552.15819069506108,168
552.24617099203147,109
552.33415081220824,116
552.42213015541,115
552.510109021455,125
552.598087410162,134
552.68606532134913,128
552.77404275483525,110
552.86201971043852,118
552.94999618797772,116
553.037972187271,131
553.12594770813735,127
553.21392275039477,109
553.30189731386224,128
553.389871398358,118
553.47784500370074,125
553.56581812970876,125
553.65379077620094,120
553.74176294299548,126
553.82973462991117,140
553.91770583676634,115
554.00567656337978,136
554.09364680956992,130
554.18161657515532,118
554.26958585995465,113
554.35755466378657,141
554.4455229864692,109
554.53349082782177,110
554.62145818766237,126
554.70942506580991,111
554.79739146208283,132
554.88535737629968,115
554.97332280827925,126
555.06128775784,111
555.14925222480065,145
555.23721620897993,127
555.32517971019615,124
555.41314272826833,116
555.50110526301478,112
555.58906731425418,104
555.67702888180554,126
555.76498996548719,130
555.85295056511791,125
555.94091068051625,129
556.0288703115009,125
556.11682945789073,109
556.20478811950431,126
556.2927462961602,126
556.38070398767729,132
556.46866119387414,122
556.55661791456942,112
556.6445741495819,136
556.73252989873038,89
556.8204851618334,109
556.90843993871,110
556.99639422917846,122
557.08434803305784,106
557.17230135016678,134
557.26025418032407,117
557.34820652334838,126
557.4361583790585,121
557.524109747273,134
557.61206062781093,101
557.70001102049093,98
557.78796092513176,111
557.8759103415523,108
557.96385926957112,115
558.05180770900722,114
558.13975565967928,110
558.22770312140619,112
558.31565009400663,112
558.40359657729948,129
558.49154257110342,109
558.57948807523746,123
558.6674330895205,117
558.75537761377086,126
558.843321647808,110
558.93126519145039,113
559.0192082445169,111
559.10715080682644,119
559.195092878198,114
559.28303445845029,108
559.37097554740194,114
559.45891614487221,111
559.54685625067987,114
559.63479586464359,124
559.7227349865824,122
559.8106736163154,109
559.898611753661,108
559.98654939843857,124
560.07448655046664,125
560.16242320956439,125
560.2503593755506,110
560.33829504824428,110
560.4262302274642,108
560.5141649130295,121
560.602099104759,101
560.69003280247125,112
560.777966005986,116
560.86589871512149,138
560.95383092969712,122
561.04176264953162,120
561.129693874444,115
561.21762460425327,120
561.30555483877833,118
561.39348457783808,115
561.48141382125175,121
561.56934256883824,128
561.65727082041644,122
561.74519857580538,109
561.83312583482416,131
561.9210525972918,110
562.008978863027,109
562.09690463184916,96
562.18482990357722,122
562.27275467803,103
562.36067895502674,117
562.44860273438644,120
562.53652601592808,106
562.62444879947088,109
562.71237108483365,109
562.8002928718355,120
562.88821416029566,102
562.976134950033,123
563.06405524086688,111
563.15197503261606,128
563.23989432509973,112
563.3278131181371,128
563.4157314115472,123
563.503649205149,114
563.59156649876172,115
563.67948329220462,88
563.76739958529652,109
563.85531537785675,119
563.94323066970435,105
564.03114546065842,123
564.1190597505381,126
564.20697353916262,123
564.2948868263511,119
564.38279961192279,99
564.47071189569647,114
564.55862367749171,107
564.64653495712753,111
564.73444573442293,120
564.82235600919751,111
564.91026578127014,112
564.99817505046,96
565.08608381658644,114
565.17399207946846,119
565.26189983892539,119
565.34980709477645,130
565.43771384684089,113
565.52562009493772,130
