W,I
550.046521001757,116
550.13451268730194,115
550.22250390041143,126
550.31049464090393,113
550.39848490859765,118
550.486474703311,108
550.57446402486255,97
550.66245287307038,109
550.750441247753,117
550.83842914872889,112
550.92641657581623,122
551.01440352883355,121
551.10239000759918,128
551.19037601193168,104
551.27836154164925,132
551.36634659657034,115
551.45433117651339,116
551.542315281297,130
551.63029891073927,117
551.71828206465887,105
551.80626474287419,109
551.89424694520358,95
551.98222867146558,114
552.07020992147864,111
552.15819069506108,103
552.24617099203147,121
552.33415081220824,95
552.42213015541,114
552.510109021455,113
552.598087410162,119
552.68606532134913,103
552.77404275483525,114
552.86201971043852,109
552.94999618797772,135
553.037972187271,104
553.12594770813735,129
553.21392275039477,108
553.30189731386224,105
553.389871398358,112
553.47784500370074,104
553.56581812970876,108
553.65379077620094,114
553.74176294299548,116
553.82973462991117,110
553.91770583676634,122
554.00567656337978,119
554.09364680956992,123
554.18161657515532,102
554.26958585995465,117
554.35755466378657,115
554.4455229864692,103
554.53349082782177,118
554.62145818766237,111
554.70942506580991,113
554.79739146208283,113
554.88535737629968,108
554.97332280827925,105
555.06128775784,111
555.14925222480065,98
555.23721620897993,114
555.32517971019615,110
555.41314272826833,110
555.50110526301478,114
555.58906731425418,109
555.67702888180554,123
555.76498996548719,118
555.85295056511791,109
555.94091068051625,104
556.0288703115009,104
556.11682945789073,114
556.20478811950431,121
556.2927462961602,101
556.38070398767729,116
556.46866119387414,105
556.55661791456942,115
556.6445741495819,103
556.73252989873038,100
556.8204851618334,118
556.90843993871,102
556.99639422917846,114
557.08434803305784,117
557.17230135016678,118
557.26025418032407,102
557.34820652334838,114
557.4361583790585,104
557.524109747273,112
557.61206062781093,95
557.70001102049093,109
557.78796092513176,104
557.8759103415523,112
557.96385926957112,107
558.05180770900722,108
558.13975565967928,118
558.22770312140619,109
558.31565009400663,105
558.40359657729948,113
558.49154257110342,110
558.57948807523746,112
558.6674330895205,98
558.75537761377086,112
558.843321647808,100
558.93126519145039,114
