W,I
550.046521001757,122
550.13451268730194,123
550.22250390041143,132
550.31049464090393,109
550.39848490859765,127
550.486474703311,126
550.57446402486255,110
550.66245287307038,140
550.750441247753,121
550.83842914872889,127
550.92641657581623,123
551.01440352883355,122
551.10239000759918,116
551.19037601193168,109
551.27836154164925,129
551.36634659657034,131
551.45433117651339,125
551.542315281297,129
551.63029891073927,126
551.71828206465887,114
551.80626474287419,136
551.89424694520358,121
551.98222867146558,129
552.07020992147864,132
552.15819069506108,114
552.24617099203147,132
552.33415081220824,115
552.42213015541,125
552.510109021455,119
552.598087410162,121
552.68606532134913,140
552.77404275483525,125
552.86201971043852,126
552.94999618797772,109
553.037972187271,124
553.12594770813735,99
553.21392275039477,111
553.30189731386224,137
553.389871398358,136
553.47784500370074,116
553.56581812970876,128
553.65379077620094,110
553.74176294299548,125
553.82973462991117,144
553.91770583676634,128
554.00567656337978,125
554.09364680956992,124
554.18161657515532,120
554.26958585995465,115
554.35755466378657,129
554.4455229864692,117
554.53349082782177,120
554.62145818766237,129
554.70942506580991,113
554.79739146208283,112
554.88535737629968,137
554.97332280827925,131
555.06128775784,127
555.14925222480065,116
555.23721620897993,135
555.32517971019615,105
555.41314272826833,98
555.50110526301478,116
555.58906731425418,133
555.67702888180554,113
555.76498996548719,127
555.85295056511791,107
555.94091068051625,136
556.0288703115009,114
556.11682945789073,107
556.20478811950431,123
556.2927462961602,108
556.38070398767729,108
556.46866119387414,135
556.55661791456942,115
556.6445741495819,113
556.73252989873038,123
556.8204851618334,106
556.90843993871,129
556.99639422917846,123
557.08434803305784,100
557.17230135016678,123
557.26025418032407,140
557.34820652334838,117
557.4361583790585,109
557.524109747273,129
557.61206062781093,105
557.70001102049093,117
557.78796092513176,105
557.8759103415523,123
557.96385926957112,125
558.05180770900722,105
558.13975565967928,129
558.22770312140619,116
558.31565009400663,124
558.40359657729948,119
558.49154257110342,103
558.57948807523746,124
558.6674330895205,106
558.75537761377086,124
558.843321647808,114
558.93126519145039,119
559.0192082445169,109
559.10715080682644,118
559.195092878198,111
559.28303445845029,122
559.37097554740194,113
559.45891614487221,105
559.54685625067987,112
559.63479586464359,115
559.7227349865824,123
559.8106736163154,125
559.898611753661,115
559.98654939843857,121
560.07448655046664,103
560.16242320956439,106
560.2503593755506,110
560.33829504824428,98
560.4262302274642,118
560.5141649130295,120
560.602099104759,107
560.69003280247125,132
560.777966005986,114
560.86589871512149,104
560.95383092969712,140
561.04176264953162,126
561.129693874444,107
561.21762460425327,115
561.30555483877833,118
561.39348457783808,111
561.48141382125175,113
561.56934256883824,112
561.65727082041644,130
561.74519857580538,110
561.83312583482416,120
561.9210525972918,106
562.008978863027,113
562.09690463184916,122
562.18482990357722,112
562.27275467803,118
562.36067895502674,115
562.44860273438644,115
562.53652601592808,118
562.62444879947088,118
562.71237108483365,104
562.8002928718355,120
562.88821416029566,126
562.976134950033,100
563.06405524086688,106
563.15197503261606,122
563.23989432509973,116
563.3278131181371,107
563.4157314115472,105
563.503649205149,107
563.59156649876172,110
563.67948329220462,113
563.76739958529652,101
563.85531537785675,117
563.94323066970435,117
564.03114546065842,105
564.1190597505381,136
564.20697353916262,114
564.2948868263511,103
564.38279961192279,104
564.47071189569647,116
564.55862367749171,112
564.64653495712753,129
564.73444573442293,112
564.82235600919751,105
564.91026578127014,121
564.99817505046,112
565.08608381658644,102
565.17399207946846,103
565.26189983892539,116
565.34980709477645,122
565.43771384684089,125
565.52562009493772,109
565.61352583888629,109
565.701431078506,118
565.78933581361593,133
565.877240044035,112
565.965143769583,116
566.05304699007911,113
566.14094970534234,107
566.22885191519185,110
566.31675361944724,112
566.40465481792762,129
566.49255551045223,125
566.58045569684054,135
566.66835537691156,121
566.75625455048475,118
566.84415321737924,125
566.93205137741461,116
567.01994903041,109
567.10784617618469,122
567.19574281455823,117
567.28363894534948,127
567.37153456837825,117
567.45942968346367,125
567.547324290425,104
567.63521838908161,120
567.723111979253,100
567.81100506075836,121
567.898897633417,110
567.98678969704861,116
568.07468125147227,122
568.16257229650751,116
568.25046283197344,131
568.33835285768987,130
568.4262423734757,122
568.51413137915074,103
568.60201987453422,124
568.68990785944538,105
568.77779533370392,117
568.8656822971293,107
568.95356874954052,119
569.0414546907574,126
569.12934012059918,131
569.21722503888543,116
569.30510944543551,105
569.39299334006876,118
569.48087672260488,110
569.56875959286322,118
569.65664195066313,111
569.74452379582419,129
569.832405128166,1557
569.92028594750764,1359
570.008166253669,755
570.09604604646938,136
570.1839253257283,121
570.27180409126527,130
570.35968234289976,109
570.44756008045135,140
570.53543730373951,143
570.62331401258382,136
570.71119020680374,146
570.79906588621884,161
570.88694105064849,115
570.9748156999126,143
571.0626898338304,137
571.15056345222149,146
571.23843655490543,151
571.326309141702,152
571.41418121243055,145
571.50205276691065,147
571.58992380496193,158
571.677794326404,152
571.76566433105643,143
571.85353381873881,149
571.94140278927068,172
572.02927124247174,169
572.11713917816155,186
572.20500659615982,181
572.292873496286,211
572.38073987835992,201
572.46860574220113,212
572.55647108762912,223
572.64433591446368,261
572.7322002225244,269
572.820064011631,279
572.90792728160318,353
572.99579003226052,359
573.08365226342255,424
573.1715139749092,480
573.25937516654,608
573.34723583813479,790
573.435095989513,1149
573.52295562049449,1923
573.610814730899,3934
573.69867332054628,10575
573.78653138925574,25851
573.87438893684737,45519
573.96224596314084,50641
574.05010246795587,35601
574.13795845111213,17029
574.22581391242943,6475
574.31366885172758,2452
574.40152326882617,1122
574.4893771635451,747
574.57723053570385,531
574.66508338512267,464
574.75293571162081,385
574.84078751501852,332
574.92863879513527,299
575.01648955179087,266
575.10433978480512,224
575.19218949399806,233
575.28003867918915,212
575.36788734019831,200
575.45573547684546,191
575.54358308895041,186
575.63143017633286,179
575.71927673881271,164
575.80712277620978,183
575.894968288344,143
575.98281327503514,154
576.07065773610293,162
576.15850167136739,138
576.24634508064844,136
576.33418796376566,155
576.42203032053919,136
576.50987215078885,141
576.59771345433444,127
576.68555423099588,129
576.77339448059331,121
576.86123420294609,137
576.9490733978746,125
577.03691206519863,118
577.12475020473812,133
577.21258781631275,116
577.30042489974267,126
577.38826145484791,121
577.47609748144828,109
577.56393297936347,118
577.65176794841386,129
577.739602388419,124
577.82743629919923,124
577.91526968057428,124
578.00310253236432,131
578.09093485438916,101
578.17876664646872,136
578.26659790842314,112
578.35442864007234,111
578.44225884123637,124
578.530088511735,111
578.61791765138855,137
578.705746260017,102
578.79357433744019,125
578.88140188347813,106
578.9692288979511,127
579.057055380679,101
