W,I
629.5395974370897,1739
629.55083308538269,1754
629.562068487409,1779
629.57330364314362,1779
629.58453855256187,1762
629.59577321563916,1754
629.60700763235036,1754
629.61824180267092,1754
629.629475726576,1777
629.64070940404076,1777
629.65194283504059,1750
629.66317601955041,1750
629.67440895754578,1758
629.68564164900181,1758
629.6968740938936,1754
629.70810629219659,1754
629.71933824388577,1757
629.73056994893648,1757
629.741801407324,1743
629.75303261902354,1743
629.76426358401045,1762
629.77549430225963,1762
629.78672477374676,1761
629.7979549984467,1753
629.8091849763349,1727
629.82041470738648,1727
629.83164419157686,1729
629.84287342888115,1745
629.85410241927457,1732
629.86533116273256,1742
629.87655965923011,1742
629.88778790874267,1742
629.89901591124544,1742
629.91024366671365,1741
629.92147117512252,1741
629.93269843644748,1733
629.94392545066364,1730
629.95515221774622,1730
629.96637873767054,1730
629.97760501041193,1727
629.98883103594574,1740
630.00005681424682,1739
630.011282345291,1740
630.022507629053,1739
630.03373266550864,1747
630.04495745463271,1739
630.05618199640082,1739
630.06740629078809,1719
630.07863033776982,1719
630.08985413732137,1735
630.10107768941782,1735
630.11230099403474,1744
630.12352405114711,1708
630.13474686073039,1722
630.14596942275989,1720
630.15719173721084,1722
630.16841380405845,1720
630.17963562327827,1728
630.19085719484542,1714
630.20207851873511,1728
630.21329959492277,1728
630.22452042338364,1728
630.235741004093,1728
630.24696133702628,1759
630.2581814221586,1761
630.26940125946544,1759
630.280620848922,1756
630.29184019050354,1720
630.30305928418557,1709
630.31427812994309,1706
630.32549672775156,1706
630.33671507758652,1709
630.347933179423,1737
630.35915103323634,1716
630.370368639002,1716
630.38158599669521,1716
630.39280310629135,1718
630.40401996776552,1721
630.41523658109327,1721
630.42645294624992,1741
630.43766906321071,1741
630.44888493195117,1750
630.46010055244631,1720
630.47131592467156,1750
630.48253104860248,1720
630.49374592421407,1726
630.50496055148187,1726
630.51617493038123,1726
630.52738906088757,1731
630.5386029429759,1765
630.54981657662177,1765
630.5610299618005,1750
630.57224309848766,1750
630.58345598665812,1754
630.59466862628767,1759
630.60588101735141,1754
630.61709315982466,1728
630.628305053683,1728
630.63951669890173,1758
630.650728095456,1760
630.6619392433214,1760
630.67315014247311,1796
630.68436079288665,1768
630.69557119453725,1768
630.70678134740035,1768
630.71799125145128,1756
630.72920090666537,1769
630.74041031301817,1756
630.7516194704848,1731
630.7628283790408,1731
