W,I
730.34569052617894,1190
730.35573248687479,1199
730.365774167115,1190
730.37581556687712,1223
730.38585668613882,1207
730.39589752487814,1207
730.4059380830721,1207
730.41597836069889,1200
730.42601835773587,1198
730.43605807416088,1182
730.44609750995141,1167
730.4561366650853,1167
730.46617553954013,1176
730.47621413329375,1190
730.48625244632342,1190
730.49629047860731,1199
730.50632823012268,1207
730.51636570084759,1207
730.52640289075941,1207
730.536439799836,1205
730.5464764280548,1188
730.5565127753938,1188
730.56654884183058,1165
730.57658462734275,1199
730.58662013190815,1173
730.59665535550437,1193
730.60669029810913,1173
730.6167249597,1193
730.626759340255,1187
730.6367934397515,1197
730.64682725816738,1187
730.65686079548016,1178
730.66689405166778,1167
730.676927026708,1167
730.68695972057822,1190
730.69699213325623,1190
730.70702426472,1174
730.71705611494679,1174
730.72708768391487,1176
730.73711897160149,1177
730.74714997798458,1177
730.75718070304185,1177
730.767211146751,1193
730.77724130908973,1193
730.787271190036,1193
730.79730078956709,1170
730.80733010766107,1192
730.81735914429555,1192
730.82738789944824,1192
730.837416373097,1185
730.84744456521946,1185
730.85747247579332,1188
730.86750010479659,1193
730.87752745220666,1193
730.88755451800148,1189
730.89758130215876,1189
730.907607804656,1155
730.91763402547144,1174
730.92765996458229,1174
730.93768562196669,1188
730.94771099760237,1188
730.957736091467,1179
730.96776090353819,1179
730.977785433794,1176
730.98780968221183,1182
730.99783364876987,1184
731.00785733344549,1184
731.01788073621674,1175
731.02790385706112,1175
731.03792669595668,1161
731.04794925288093,1176
731.0579715278119,1176
731.06799352072721,1176
731.0780152316047,1161
731.08803666042206,1161
731.09805780715715,1160
731.10807867178767,1183
731.11809925429145,1161
731.12811955464633,1172
731.13813957283,1161
731.14815930882037,1145
731.15817876259518,1145
731.16819793413208,1149
731.17821682340912,1181
731.18823543040389,1169
731.19825375509424,1191
731.208271797458,1177
731.218289557473,1177
731.22830703511693,1177
731.23832423036765,1169
731.24834114320311,1162
731.25835777360089,1145
731.26837412153884,1145
731.2783901869949,1162
731.28840596994689,1169
731.29842147037255,1163
731.30843668824969,1169
731.31845162355592,1163
731.32846627626941,1166
731.33848064636788,1166
731.34849473382917,1173
731.35850853863087,1175
731.36852206075116,1180
731.37853530016764,1183
731.38854825685814,1180
731.39856093080073,1153
731.40857332197288,1153
731.41858543035278,1161
731.42859725591791,1177
731.43860879864633,1177
731.4486200585161,1177
731.4586310355046,1170
731.46864172958988,1189
731.47865214074977,1166
731.48866226896223,1182
731.49867211420508,1166
731.508681676456,1144
731.518690955693,1144
731.52869995189394,1176
731.53870866503644,1176
731.54871709509871,1160
731.55872524205859,1160
731.56873310589344,1172
731.5787406865818,1172
731.58874798410113,1176
731.59875499842929,1166
731.6087617295442,1176
731.618768177424,1160
731.6287743420462,1161
731.638780223389,1161
731.6487858214299,1161
731.658791136147,1189
731.66879616751817,1167
731.67880091552138,1167
731.68880538013423,1167
731.69880956133488,1172
731.70881345910107,1172
731.71881707341083,1170
731.72882040424179,1146
731.7388234515721,1146
731.74882621537949,1146
731.75882869564214,1163
731.76883089233752,1163
731.77883280544381,1146
731.788834434939,1144
731.79883578080069,1144
731.80883684300682,1162
731.81883762153541,1186
731.82883811636464,1186
731.838838327472,1162
731.84883825483553,1162
731.85883789843308,1162
731.86883725824271,1159
731.87883633424235,1159
731.88883512640973,1162
731.89883363472291,1165
731.90883185915993,1168
731.91882979969841,1165
731.92882745631653,1195
731.93882482899187,1170
731.94882191770284,1170
731.958818722427,1162
731.96881524314279,1162
731.9788114798273,1172
731.98880743245923,1172
731.99880310101616,1156
732.00879848547606,1151
732.018793585817,1151
732.02878840201674,1166
732.03878293405342,1166
732.04877718190471,1169
732.058771145549,1160
732.06876482496386,1169
732.07875822012727,1160
732.08875133101731,1160
732.0987441576118,1160
732.108736699889,1161
732.11872895782653,1161
732.12872093140277,1154
732.138712620595,1141
732.14870402538179,1154
732.15869514574092,1158
732.16868598165024,1183
732.17867653308792,1183
732.1886668000318,1183
732.19865678245969,1171
732.2086464803499,1158
732.21863589368036,1171
732.22862502242879,1149
732.23861386657347,1173
732.24860242609213,1149
732.25859070096294,1157
732.26857869116373,1157
732.27856639667277,1164
732.28855381746757,1176
732.29854095352664,1190
732.30852780482769,1190
732.31851437134867,1196
732.32850065306775,1196
732.33848664996276,1196
732.34847236201188,1207
732.35845778919293,1210
732.36844293148408,1215
732.37842778886329,1215
732.38841236130838,1223
732.39839664879753,1223
732.4083806513089,1196
732.41836436882011,1187
732.42834780130966,1168
732.438330948755,1183
732.44831381113465,1168
732.45829638842645,1145
732.46827868060836,1145
732.47826068765846,1162
732.48824240955469,1162
732.49822384627532,1162
732.508204997798,1162
732.51818586410093,1170
732.52816644516224,1170
732.53814674096,1200
732.54812675147207,1163
732.5581064766767,1179
732.56808591655158,1176
732.57806507107523,1176
732.58804394022525,1174
732.59802252397981,1174
732.60800082231708,1170
732.6179788352149,1170
732.62795656265155,1160
732.6379340046052,1160
732.64791116105334,1177
732.65788803197461,1177
732.66786461734682,1177
732.67784091714782,1154
732.68781693135611,1154
732.69779265994941,1153
732.707768102906,1153
732.71774326020386,1166
732.72771813182112,1185
732.73769271773563,1169
732.74766701792555,1174
732.75764103236918,1171
732.76761476104434,1171
732.77758820392921,1171
732.78756136100185,1184
732.79753423224042,1192
732.80750681762288,1184
732.81747911712739,1173
732.8274511307319,1173
732.83742285841458,1177
732.84739430015372,1190
732.857365455927,1192
732.86733632571293,1192
732.87730690948933,1177
732.88727720723443,1177
732.89724721892628,1192
732.90721694454294,1192
732.91718638406257,1187
732.92715553746325,1172
732.93712440472314,1183
732.94709298582018,1183
732.95706128073277,1183
732.96702928943876,1193
732.97699701191641,1193
732.98696444814368,1193
732.99693159809874,1214
733.00689846175987,1214
733.01686503910491,1214
733.02683133011237,1206
733.03679733476,1217
733.0467630530261,1197
733.05672848488882,1217
733.06669363032609,1243
733.07665848931629,1243
733.08662306183737,1211
733.09658734786763,1211
733.10655134738488,1215
733.11651506036776,1220
733.1264784867941,1220
733.13644162664207,1220
733.14640447988961,1225
733.15636704651536,1215
733.166329326497,1229
733.176291319813,1225
733.18625302644125,1226
733.19621444636,1225
733.20617557954768,1217
733.21613642598186,1217
733.22609698564122,1217
733.23605725850371,1210
733.24601724454749,1197
733.25597694375074,1197
733.26593635609163,1165
733.27589548154833,1202
733.28585432009891,1192
733.29581287172175,1192
733.30577113639492,1182
733.3157291140966,1182
733.32568680480472,1196
733.3356442084978,1196
733.34560132515389,1196
733.35555815475129,1209
733.36551469726794,1209
733.37547095268212,1190
733.38542692097212,1188
733.395382602116,1190
733.40533799609216,1209
733.41529310287842,1209
733.42524792245331,1196
733.435202454795,1172
733.44515669988141,1196
733.455110657691,1186
733.46506432820183,1195
733.47501771139207,1186
733.4849708072403,1194
733.49492361572425,1187
733.5048761368223,1187
733.51482837051276,1187
733.52478031677379,1216
733.53473197558344,1222
733.54468334692012,1222
733.55463443076212,1185
733.56458522708726,1185
733.57453573587418,1200
733.58448595710092,1200
733.59443589074579,1207
733.60438553678682,1186
733.61433489520255,1207
733.6242839659709,1213
733.63423274907018,1213
733.64418124447877,1191
733.65412945217474,1173
733.66407737213638,1173
733.674025004342,1176
733.68397234876977,1214
733.69391940539788,1211
733.70386617420479,1211
733.71381265516857,1211
733.72375884826738,1210
733.73370475347963,1226
733.7436503707836,1212
733.75359570015723,1223
733.76354074157928,1212
733.77348549502767,1218
733.78342996048048,1211
733.79337413791654,1211
733.80331802731359,1204
733.81326162865,1204
733.82320494190424,1217
733.83314796705463,1217
733.843090704079,1207
733.85303315295607,1201
733.86297531366381,1207
733.87291718618064,1214
733.88285877048486,1214
733.89280006655463,1239
733.90274107436835,1239
733.91268179390431,1266
733.92262222514069,1300
733.93256236805576,1350
733.94250222262792,1373
733.95244178883536,1500
733.96238106665646,1610
733.97232005606952,1780
733.9822587570527,1842
733.99219716958441,1842
734.00213529364294,1697
734.01207312920656,1495
734.02201067625344,1319
