W,I
730.34569052617894,658
730.35573248687479,646
730.365774167115,644
730.37581556687712,643
730.38585668613882,644
730.39589752487814,644
730.4059380830721,644
730.41597836069889,640
730.42601835773587,640
730.43605807416088,644
730.44609750995141,644
730.4561366650853,642
730.46617553954013,628
730.47621413329375,639
730.48625244632342,628
730.49629047860731,625
730.50632823012268,625
730.51636570084759,632
730.52640289075941,632
730.536439799836,622
730.5464764280548,622
730.5565127753938,623
730.56654884183058,623
730.57658462734275,623
730.58662013190815,625
730.59665535550437,627
730.60669029810913,627
730.6167249597,627
730.626759340255,625
730.6367934397515,615
730.64682725816738,613
730.65686079548016,610
730.66689405166778,610
730.676927026708,611
730.68695972057822,614
730.69699213325623,614
730.70702426472,618
730.71705611494679,618
730.72708768391487,619
730.73711897160149,617
730.74714997798458,621
730.75718070304185,615
730.767211146751,615
730.77724130908973,609
730.787271190036,608
730.79730078956709,609
730.80733010766107,612
730.81735914429555,613
730.82738789944824,612
730.837416373097,610
730.84744456521946,609
730.85747247579332,609
730.86750010479659,609
730.87752745220666,613
730.88755451800148,609
730.89758130215876,602
730.907607804656,602
730.91763402547144,608
730.92765996458229,608
730.93768562196669,612
730.94771099760237,606
730.957736091467,606
730.96776090353819,606
730.977785433794,613
730.98780968221183,613
730.99783364876987,613
731.00785733344549,606
731.01788073621674,607
731.02790385706112,606
731.03792669595668,590
731.04794925288093,590
731.0579715278119,607
731.06799352072721,607
731.0780152316047,607
731.08803666042206,605
731.09805780715715,605
731.10807867178767,599
731.11809925429145,599
731.12811955464633,599
731.13813957283,604
731.14815930882037,604
731.15817876259518,601
731.16819793413208,601
731.17821682340912,601
731.18823543040389,602
731.19825375509424,602
731.208271797458,602
731.218289557473,599
731.22830703511693,602
731.23832423036765,596
731.24834114320311,594
731.25835777360089,594
731.26837412153884,609
731.2783901869949,609
731.28840596994689,605
731.29842147037255,590
731.30843668824969,590
731.31845162355592,592
731.32846627626941,602
731.33848064636788,602
731.34849473382917,599
731.35850853863087,592
731.36852206075116,599
731.37853530016764,600
731.38854825685814,600
731.39856093080073,597
731.40857332197288,596
731.41858543035278,597
731.42859725591791,604
731.43860879864633,604
731.4486200585161,592
731.4586310355046,590
731.46864172958988,590
731.47865214074977,594
731.48866226896223,594
731.49867211420508,594
731.508681676456,600
731.518690955693,600
731.52869995189394,589
731.53870866503644,589
731.54871709509871,591
731.55872524205859,602
731.56873310589344,602
731.5787406865818,599
731.58874798410113,598
731.59875499842929,598
731.6087617295442,598
731.618768177424,592
731.6287743420462,596
731.638780223389,591
731.6487858214299,590
731.658791136147,590
731.66879616751817,590
731.67880091552138,592
731.68880538013423,592
731.69880956133488,597
731.70881345910107,597
731.71881707341083,597
731.72882040424179,597
731.7388234515721,597
731.74882621537949,596
731.75882869564214,596
731.76883089233752,589
731.77883280544381,589
731.788834434939,589
731.79883578080069,595
731.80883684300682,595
731.81883762153541,595
731.82883811636464,589
731.838838327472,589
731.84883825483553,589
731.85883789843308,597
731.86883725824271,597
731.87883633424235,602
731.88883512640973,586
731.89883363472291,583
731.90883185915993,583
731.91882979969841,592
731.92882745631653,594
731.93882482899187,592
731.94882191770284,590
731.958818722427,590
731.96881524314279,596
731.9788114798273,596
731.98880743245923,595
731.99880310101616,595
732.00879848547606,592
732.018793585817,592
732.02878840201674,592
732.03878293405342,592
732.04877718190471,592
732.058771145549,592
732.06876482496386,595
732.07875822012727,600
732.08875133101731,600
732.0987441576118,592
732.108736699889,588
732.11872895782653,592
732.12872093140277,600
732.138712620595,600
732.14870402538179,588
732.15869514574092,588
732.16868598165024,601
732.17867653308792,601
732.1886668000318,599
732.19865678245969,599
732.2086464803499,599
732.21863589368036,598
732.22862502242879,598
732.23861386657347,598
732.24860242609213,594
732.25859070096294,594
732.26857869116373,605
732.27856639667277,605
732.28855381746757,603
732.29854095352664,596
732.30852780482769,592
732.31851437134867,592
732.32850065306775,591
732.33848664996276,591
732.34847236201188,591
732.35845778919293,593
732.36844293148408,596
732.37842778886329,599
732.38841236130838,599
732.39839664879753,595
732.4083806513089,593
732.41836436882011,589
732.42834780130966,589
732.438330948755,589
732.44831381113465,593
732.45829638842645,586
732.46827868060836,597
732.47826068765846,595
732.48824240955469,595
732.49822384627532,595
732.508204997798,591
732.51818586410093,595
732.52816644516224,591
732.53814674096,591
732.54812675147207,591
732.5581064766767,591
732.56808591655158,581
732.57806507107523,581
732.58804394022525,581
732.59802252397981,588
732.60800082231708,588
732.6179788352149,589
732.62795656265155,589
732.6379340046052,589
732.64791116105334,593
732.65788803197461,593
732.66786461734682,594
732.67784091714782,594
732.68781693135611,594
732.69779265994941,591
732.707768102906,591
732.71774326020386,588
732.72771813182112,595
732.73769271773563,591
732.74766701792555,598
732.75764103236918,594
732.76761476104434,595
732.77758820392921,595
732.78756136100185,595
732.79753423224042,595
732.80750681762288,598
732.81747911712739,593
732.8274511307319,601
732.83742285841458,594
732.84739430015372,594
732.857365455927,594
732.86733632571293,596
732.87730690948933,599
732.88727720723443,596
732.89724721892628,594
732.90721694454294,594
732.91718638406257,596
732.92715553746325,600
732.93712440472314,600
732.94709298582018,602
732.95706128073277,599
732.96702928943876,595
732.97699701191641,595
732.98696444814368,596
732.99693159809874,596
733.00689846175987,594
733.01686503910491,594
733.02683133011237,596
733.03679733476,606
733.0467630530261,601
733.05672848488882,601
733.06669363032609,596
733.07665848931629,596
733.08662306183737,606
733.09658734786763,606
733.10655134738488,605
