W,I
730.34569052617894,1450
730.35573248687479,1470
730.365774167115,1453
730.37581556687712,1453
730.38585668613882,1453
730.39589752487814,1460
730.4059380830721,1460
730.41597836069889,1426
730.42601835773587,1422
730.43605807416088,1426
730.44609750995141,1463
730.4561366650853,1463
730.46617553954013,1446
730.47621413329375,1440
730.48625244632342,1403
730.49629047860731,1440
730.50632823012268,1453
730.51636570084759,1453
730.52640289075941,1437
730.536439799836,1437
730.5464764280548,1443
730.5565127753938,1455
730.56654884183058,1455
730.57658462734275,1455
730.58662013190815,1444
730.59665535550437,1444
730.60669029810913,1458
730.6167249597,1464
730.626759340255,1471
730.6367934397515,1464
730.64682725816738,1450
730.65686079548016,1450
730.66689405166778,1450
730.676927026708,1423
730.68695972057822,1423
730.69699213325623,1461
730.70702426472,1476
730.71705611494679,1476
730.72708768391487,1501
730.73711897160149,1455
730.74714997798458,1477
730.75718070304185,1431
730.767211146751,1432
730.77724130908973,1410
730.787271190036,1432
730.79730078956709,1413
730.80733010766107,1413
730.81735914429555,1413
730.82738789944824,1447
730.837416373097,1451
730.84744456521946,1447
730.85747247579332,1427
730.86750010479659,1427
730.87752745220666,1428
730.88755451800148,1434
730.89758130215876,1451
730.907607804656,1460
730.91763402547144,1455
730.92765996458229,1455
730.93768562196669,1455
730.94771099760237,1464
730.957736091467,1464
730.96776090353819,1417
730.977785433794,1414
730.98780968221183,1417
730.99783364876987,1428
731.00785733344549,1441
731.01788073621674,1448
731.02790385706112,1448
731.03792669595668,1446
731.04794925288093,1426
731.0579715278119,1446
731.06799352072721,1437
731.0780152316047,1451
731.08803666042206,1437
731.09805780715715,1448
731.10807867178767,1444
731.11809925429145,1444
731.12811955464633,1415
731.13813957283,1406
731.14815930882037,1415
731.15817876259518,1417
731.16819793413208,1427
731.17821682340912,1458
731.18823543040389,1427
731.19825375509424,1462
731.208271797458,1414
731.218289557473,1430
731.22830703511693,1430
731.23832423036765,1430
731.24834114320311,1422
731.25835777360089,1422
731.26837412153884,1422
731.2783901869949,1420
731.28840596994689,1417
731.29842147037255,1400
731.30843668824969,1417
731.31845162355592,1418
731.32846627626941,1419
731.33848064636788,1463
731.34849473382917,1463
731.35850853863087,1415
731.36852206075116,1415
731.37853530016764,1429
731.38854825685814,1429
731.39856093080073,1424
731.40857332197288,1422
731.41858543035278,1417
731.42859725591791,1422
731.43860879864633,1431
731.4486200585161,1431
731.4586310355046,1430
731.46864172958988,1378
731.47865214074977,1378
731.48866226896223,1377
731.49867211420508,1377
731.508681676456,1400
731.518690955693,1400
731.52869995189394,1400
731.53870866503644,1407
731.54871709509871,1423
731.55872524205859,1410
731.56873310589344,1426
731.5787406865818,1423
731.58874798410113,1423
731.59875499842929,1423
731.6087617295442,1446
731.618768177424,1446
731.6287743420462,1436
731.638780223389,1400
731.6487858214299,1400
731.658791136147,1418
731.66879616751817,1418
731.67880091552138,1416
731.68880538013423,1415
731.69880956133488,1415
731.70881345910107,1400
731.71881707341083,1400
731.72882040424179,1428
731.7388234515721,1428
731.74882621537949,1394
731.75882869564214,1394
731.76883089233752,1395
731.77883280544381,1409
731.788834434939,1418
731.79883578080069,1409
731.80883684300682,1393
731.81883762153541,1393
731.82883811636464,1416
731.838838327472,1417
731.84883825483553,1417
731.85883789843308,1417
731.86883725824271,1420
731.87883633424235,1420
731.88883512640973,1448
731.89883363472291,1448
731.90883185915993,1408
731.91882979969841,1404
731.92882745631653,1385
731.93882482899187,1385
731.94882191770284,1434
731.958818722427,1434
731.96881524314279,1408
731.9788114798273,1407
731.98880743245923,1408
731.99880310101616,1409
732.00879848547606,1409
732.018793585817,1380
732.02878840201674,1380
732.03878293405342,1394
732.04877718190471,1430
732.058771145549,1412
732.06876482496386,1425
732.07875822012727,1412
732.08875133101731,1405
732.0987441576118,1398
732.108736699889,1386
732.11872895782653,1395
732.12872093140277,1384
732.138712620595,1395
732.14870402538179,1400
732.15869514574092,1415
732.16868598165024,1415
732.17867653308792,1386
732.1886668000318,1386
732.19865678245969,1394
