W,I
629.5395974370897,1431
629.55083308538269,1431
629.562068487409,1421
629.57330364314362,1418
629.58453855256187,1417
629.59577321563916,1418
629.60700763235036,1459
629.61824180267092,1459
629.629475726576,1426
629.64070940404076,1426
629.65194283504059,1435
629.66317601955041,1442
629.67440895754578,1435
629.68564164900181,1438
629.6968740938936,1418
629.70810629219659,1415
629.71933824388577,1415
629.73056994893648,1421
629.741801407324,1421
629.75303261902354,1403
629.76426358401045,1394
629.77549430225963,1396
629.78672477374676,1396
629.7979549984467,1419
629.8091849763349,1419
629.82041470738648,1419
629.83164419157686,1439
629.84287342888115,1439
629.85410241927457,1430
629.86533116273256,1427
629.87655965923011,1407
629.88778790874267,1407
629.89901591124544,1407
629.91024366671365,1415
629.92147117512252,1409
629.93269843644748,1409
629.94392545066364,1409
629.95515221774622,1426
629.96637873767054,1426
629.97760501041193,1421
629.98883103594574,1421
630.00005681424682,1421
630.011282345291,1444
630.022507629053,1410
630.03373266550864,1409
630.04495745463271,1403
630.05618199640082,1403
630.06740629078809,1415
630.07863033776982,1442
630.08985413732137,1415
630.10107768941782,1436
630.11230099403474,1412
630.12352405114711,1432
630.13474686073039,1432
630.14596942275989,1433
630.15719173721084,1433
630.16841380405845,1433
630.17963562327827,1392
630.19085719484542,1392
630.20207851873511,1376
630.21329959492277,1427
630.22452042338364,1399
630.235741004093,1399
630.24696133702628,1399
630.2581814221586,1391
630.26940125946544,1408
630.280620848922,1408
630.29184019050354,1411
630.30305928418557,1428
630.31427812994309,1411
630.32549672775156,1434
630.33671507758652,1405
630.347933179423,1405
630.35915103323634,1405
630.370368639002,1417
630.38158599669521,1417
630.39280310629135,1414
630.40401996776552,1405
630.41523658109327,1401
630.42645294624992,1405
630.43766906321071,1370
630.44888493195117,1389
630.46010055244631,1389
630.47131592467156,1400
630.48253104860248,1419
630.49374592421407,1400
630.50496055148187,1421
630.51617493038123,1416
630.52738906088757,1425
630.5386029429759,1425
630.54981657662177,1425
630.5610299618005,1408
630.57224309848766,1400
630.58345598665812,1408
630.59466862628767,1427
630.60588101735141,1427
630.61709315982466,1420
630.628305053683,1415
630.63951669890173,1411
630.650728095456,1403
630.6619392433214,1395
630.67315014247311,1403
630.68436079288665,1397
630.69557119453725,1397
630.70678134740035,1394
630.71799125145128,1394
630.72920090666537,1406
630.74041031301817,1432
630.7516194704848,1432
630.7628283790408,1432
630.7740370386615,1443
630.78524544932225,1428
630.79645361099847,1439
630.8076615236655,1428
630.81886918729867,1439
630.83007660187343,1449
630.84128376736521,1453
630.85249068374935,1453
630.86369735100118,1443
630.874903769096,1443
630.88610993800944,1437
630.89731585771676,1481
630.90852152819343,1432
630.91972694941478,1475
630.930932121356,1459
630.942137043993,1459
630.95334171730053,1455
630.96454614125457,1445
630.97575031583,1445
630.98695424100276,1442
630.99815791674791,1437
631.009361343041,1437
631.0205645198572,1421
631.03176744717211,1446
631.04297012496124,1464
631.05417255319981,1464
631.06537473186324,1410
631.07657666092712,1410
631.08777834036664,1410
631.09897977015737,1427
631.11018095027464,1406
631.121381880694,1391
631.13258256139068,1391
631.14378299234022,1396
631.15498317351819,1396
631.16618310489969,1396
631.17738278646038,1398
631.18858221817561,1398
631.19978140002081,1398
631.21098033197143,1433
631.2221790140029,1435
631.23337744609069,1433
631.24457562821021,1435
631.25577356033693,1409
631.26697124244617,1365
631.27816867451349,1365
631.28936585651422,1397
631.300562788424,1425
631.31175947021825,1415
631.32295590187221,1415
631.33415208336135,1403
631.34534801466145,1403
631.35654369574752,1389
631.36773912659532,1412
631.3789343071802,1394
631.39012923747771,1394
631.40132391746306,1394
631.41251834711193,1398
631.42371252639987,1426
631.434906455302,1406
631.44610013379418,1406
631.45729356185154,1399
631.46848673944965,1392
631.47967966656427,1399
631.49087234317039,1392
631.5020647692437,1383
631.51325694475986,1383
631.52444886969408,1390
631.535640544022,1410
631.54683196771884,1416
631.5580231407605,1416
631.5692140631221,1419
631.58040473477934,1419
631.59159515570752,1419
631.60278532588234,1418
631.61397524527911,1392
631.62516491387339,1392
631.63635433164063,1390
631.6475434985565,1396
631.65873241459622,1400
631.66992107973545,1402
631.68110949394963,1430
631.69229765721434,1431
631.70348556950512,1430
631.71467323079719,1431
631.72586064106633,1428
631.73704780028788,1391
631.74823470843751,1391
631.75942136549065,1394
631.77060777142265,1394
631.78179392620939,1394
631.79297982982609,1414
631.80416548224844,1414
631.81535088345152,1395
631.82653603341146,1395
631.83772093210359,1395
631.84890557950314,1416
631.86008997558588,1390
631.87127412032726,1404
631.882458013703,1404
631.89364165568827,1413
631.90482504625891,1413
631.9160081853903,1421
631.927191073058,1421
631.93837370923745,1421
631.94955609390445,1406
631.9607382270342,1406
631.9719201086026,1410
631.98310173858488,1410
631.99428311695658,1407
632.0054642436935,1398
632.01664511877107,1398
632.02782574216474,1382
632.03900611385006,1410
632.05018623380272,1410
632.06136610199826,1410
632.072545718412,1400
632.08372508301989,1378
632.09490419579708,1378
632.10608305671929,1385
632.117261665762,1420
632.12844002290115,1420
632.13961812811181,1420
632.15079598136981,1427
632.1619735826506,1427
632.17315093192985,1408
632.184328029183,1408
632.19550487438573,1408
632.20668146751348,1420
632.217857808542,1394
632.22903389744681,1394
632.2402097342034,1394
632.25138531878747,1398
632.26256065117434,1413
632.27373573133991,1423
632.28491055925963,1430
632.296085134909,1430
632.30725945826373,1412
632.31843352929934,1412
632.32960734799155,1416
632.3407809143157,1433
632.35195422824756,1433
632.36312728976282,1405
632.37430009883667,1405
632.38547265544514,1421
632.39664495956367,1421
632.40781701116771,1421
632.418988810233,1424
632.43016035673543,1429
632.44133165065,1429
632.45250269195276,1413
632.46367348061915,1398
632.47484401662484,1413
632.4860142999454,1414
632.49718433055648,1414
632.50835410843354,1427
632.51952363355247,1414
632.5306929058886,1402
632.54186192541783,1402
632.5530306921155,1390
632.56419920595749,1418
632.57536746691926,1396
632.58653547497636,1396
632.59770323010468,1396
632.60887073227968,1424
632.62003798147691,1427
632.63120497767216,1436
632.642371720841,1436
632.65353821095891,1425
632.66470444800188,1425
632.67587043194521,1430
632.68703616276468,1430
632.69820164043585,1409
632.70936686493462,1409
632.72053183623632,1412
632.73169655431673,1415
632.74286101915152,1415
632.75402523071625,1415
632.76518918898648,1421
632.77635289393822,1406
632.78751634554681,1424
632.798679543788,1423
632.80984248863751,1423
632.82100518007076,1420
632.83216761806375,1419
632.84332980259182,1417
632.85449173363077,1407
632.86565341115636,1417
632.87681483514416,1439
632.88797600556984,1439
632.89913692240907,1390
632.91029758563741,1390
632.92145799523087,1410
632.93261815116466,1429
632.94377805341492,1429
632.95493770195685,1429
632.96609709676648,1422
632.97725623781935,1422
632.98841512509125,1416
632.99957375855774,1386
633.0107321381945,1402
633.02189026397741,1402
633.03304813588181,1426
633.04420575388372,1426
633.05536311795868,1425
633.06652022808237,1422
633.07767708423046,1404
633.08883368637873,1402
633.099990034503,1404
633.11114612857864,1402
633.1223019685815,1407
633.13345755448745,1408
633.144612886272,1408
633.15576796391076,1397
633.16692278737969,1397
633.17807735665428,1414
633.18923167171044,1414
633.20038573252384,1414
633.21153953907015,1422
633.222693091325,1422
633.23384638926416,1416
633.24499943286332,1416
633.25615222209831,1435
633.26730475694478,1437
633.27845703737853,1437
633.289609063375,1437
633.30076083491031,1437
633.31191235196,1437
633.32306361449969,1417
633.33421462250533,1417
633.34536537595238,1417
633.35651587481686,1424
633.36766611907433,1416
633.37881610870056,1416
633.38996584367135,1416
633.40111532396247,1404
633.41226454954938,1427
633.42341352040819,1404
633.43456223651435,1403
633.44571069784388,1403
633.45685890437233,1409
633.46800685607548,1421
633.479154552929,1409
633.4903019949088,1420
633.50144918199078,1416
633.51259611415014,1420
633.52374279136325,1416
633.53488921360554,1442
633.5460353808528,1418
633.55718129308093,1419
633.56832695026549,1419
633.57947235238237,1436
633.59061749940736,1436
633.60176239131613,1404
633.61290702808458,1404
633.62405140968826,1451
633.6351955361032,1451
633.646339407305,1425
633.65748302326961,1425
633.66862638397254,1451
633.67976948938986,1451
633.69091233949712,1423
633.70205493427022,1423
633.713197273685,1423
633.7243393577171,1396
633.73548118634233,1396
633.74662275953654,1423
633.75776407727551,1423
633.76890513953515,1426
633.7800459462909,1446
633.791186497519,1446
633.80232679319488,1436
633.81346683329457,1436
633.82460661779385,1428
633.83574614666838,1428
633.84688541989408,1428
633.8580244374466,1417
633.86916319930208,1417
633.880301705436,1417
633.89143995582424,1403
633.90257795044272,1423
633.91371568926706,1418
633.92485317227329,1418
633.93599039943729,1414
633.94712737073462,1414
633.95826408614107,1424
633.96940054563277,1440
633.98053674918538,1424
633.99167269677457,1456
634.00280838837637,1464
634.01394382396666,1464
634.025079003521,1463
634.03621392701541,1462
634.04734859442567,1462
634.05848300572779,1438
634.06961716089734,1436
634.0807510599102,1438
634.09188470274239,1436
634.1030180893697,1449
634.11415121976779,1440
634.12528409391257,1440
634.13641671177993,1435
634.14754907334589,1435
634.158681178586,1435
634.16981302747615,1446
634.18094461999249,1426
634.19207595611044,1426
634.20320703580637,1411
634.2143378590556,1411
634.22546842583438,1426
634.23659873611837,1433
634.24772878988347,1433
634.25885858710546,1407
634.26998812776048,1407
634.28111741182408,1407
634.29224643927239,1415
634.30337521008119,1415
634.31450372422614,1418
634.32563198168339,1418
634.33675998242859,1434
634.347887726438,1434
634.359015213687,1451
634.37014244415172,1419
634.38126941780808,1429
634.39239613463189,1429
634.40352259459917,1430
634.41464879768546,1430
634.425774743867,1403
