W,I
591.66288961179941,679
591.75020878095268,670
591.837527636575,679
591.92484617847765,674
592.012164406472,680
592.0994823203697,676
592.186799919982,681
592.27411720512055,681
592.36143417559651,694
592.44875083122145,694
592.536067171807,673
592.62338319716423,673
592.71069890710476,673
592.79801430144028,670
592.88532937998184,670
592.97264414254118,685
593.0599585889297,685
593.14727271895879,685
593.23458653243983,685
593.32190002918458,678
593.40921320900406,675
593.49652607170992,678
593.58383861711388,681
593.671150845027,681
593.758462755261,680
593.84577434762718,680
593.933085621937,681
594.02039657800208,681
594.10770721563392,681
594.19501753464374,680
594.282327534843,680
594.36963721604354,680
594.45694657805643,678
594.54425562069332,678
594.63156434376572,670
594.71887274708513,667
594.80618083046284,665
594.89348859371034,664
594.98079603663939,663
595.06810315906114,664
595.15540996078721,656
595.24271644162911,666
595.33002260139824,666
595.4173284399061,670
595.5046339569642,675
595.59193915238393,676
595.67924402597714,675
595.76654857755477,674
595.85385280692878,672
595.94115671391035,674
596.02846029831119,671
596.11576355994259,684
596.20306649861607,673
596.29036911414323,673
596.37767140633548,673
596.46497337500443,667
596.5522750199616,676
596.63957634101826,667
596.72687733798614,676
596.81417801067653,665
596.90147835890116,665
596.98877838247142,665
597.07607808119872,666
597.16337745489477,666
597.250676503371,667
597.33797522643874,659
597.42527362390967,667
597.5125716955954,669
597.59986944130731,669
597.68716686085679,672
597.77446395405559,667
597.8617607207151,672
597.94905716064682,667
598.03635327366237,677
598.12364905957315,671
598.21094451819079,671
598.29823964932677,669
598.38553445279263,669
598.47282892839985,667
598.56012307595984,655
598.64741689528444,655
598.73471038618482,670
598.82200354847294,674
598.90929638195985,677
598.9965888864574,677
599.083881061777,664
599.17117290773024,664
599.25846442412853,661
599.34575561078361,657
599.433046467507,657
599.52033699410993,673
599.6076271904044,673
599.69491705620158,674
599.78220659131318,671
599.86949579555062,676
599.95678466872573,672
600.04407321064969,672
600.13136142113433,672
600.21864929999106,676
600.30593684703149,682
600.39322406206713,692
600.4805109449095,691
600.5677974953702,691
600.65508371326086,690
600.742369598393,690
600.829655150578,684
600.9169403696277,705
601.0042252553535,705
601.09150980756692,705
601.17879402607957,710
601.26607791070319,712
601.353361461249,718
601.44064467752889,724
601.52792755935434,733
601.61521010653667,734
601.70249231888783,738
601.78977419621913,738
601.87705573834228,740
601.96433694506879,749
602.05161781621041,740
602.1388983515784,730
602.22617855098451,730
602.31345841424024,730
602.40073794115744,731
602.48801713154728,728
602.57529598522171,730
602.66257450199225,730
602.74985268167018,731
602.83713052406745,733
602.92440802899557,733
603.011685196266,739
603.0989620256903,739
603.18623851708026,741
603.27351467024744,748
603.36079048500335,749
603.44806596115961,749
603.53534109852774,751
603.62261589691957,763
603.70989035614662,763
603.79716447602027,763
603.88443825635227,785
603.97171169695434,785
604.058984797638,769
604.14625755821487,769
604.23352997849656,787
604.32080205829448,787
604.40807379742057,791
604.49534519568635,797
604.58261625290322,797
604.66988696888313,800
604.75715734343737,800
604.84442737637789,800
604.9316970675161,809
605.01896641666349,810
605.10623542363214,810
605.19350408823323,810
605.28077241027847,814
605.36804038957973,814
605.4553080259484,817
605.5425753191962,836
605.62984226913477,836
605.71710887557572,837
605.80437513833067,838
605.89164105721125,849
605.97890663202918,842
606.06617186259609,846
606.15343674872338,846
606.24070129022311,865
606.32796548690658,870
606.4152293385855,872
606.50249284507174,872
606.58975600617669,872
606.677018821712,872
606.76428129148962,874
606.85154341532075,874
606.9388051930174,877
607.02606662439109,905
607.11332770925355,919
607.20058844741629,933
607.28784883869116,933
607.37510888288966,931
607.46236857982353,931
607.54962792930428,926
607.636886931144,926
607.72414558515379,926
607.8114038911458,931
607.8986618489314,931
607.98591945832243,920
608.0731767191304,920
608.16043363116717,908
608.24769019424411,912
608.33494640817332,912
608.42220227276619,912
608.50945778783444,923
608.59671295318992,923
608.683967768644,926
608.77122223400863,947
608.85847634909533,926
608.945730113716,926
609.03298352768206,926
609.12023659080546,943
609.20748930289767,944
609.29474166377042,944
609.38199367323557,951
609.46924533110462,951
609.55649663718941,951
609.64374759130158,978
609.73099819325284,979
609.81824844285484,979
609.9054983399194,992
609.992747884258,981
610.07999707568263,995
610.16724591400487,1006
610.25449439903639,1032
610.34174253058893,1033
610.42899030847423,1033
610.5162377325039,1053
610.60348480248979,1091
610.69073151824352,1092
610.777977879577,1098
610.86522388630158,1111
610.95246953822937,1187
611.03971483517194,1201
611.126959776941,1216
611.21420436334813,1216
611.30144859420534,1208
611.38869246932416,1198
611.47593598851643,1198
611.56317915159377,1189
611.65042195836793,1189
611.73766440865086,1184
611.82490650225407,1192
611.91214823898929,1248
611.99938961866837,1249
612.086630641103,1248
612.173871306105,1236
612.261111613486,1221
