W,I
730.34569052617894,287
730.35573248687479,290
730.365774167115,290
730.37581556687712,281
730.38585668613882,265
730.39589752487814,265
730.4059380830721,260
730.41597836069889,279
730.42601835773587,277
730.43605807416088,270
730.44609750995141,270
730.4561366650853,261
730.46617553954013,253
730.47621413329375,255
730.48625244632342,265
730.49629047860731,262
730.50632823012268,248
730.51636570084759,255
730.52640289075941,257
730.536439799836,255
730.5464764280548,238
730.5565127753938,234
730.56654884183058,238
730.57658462734275,240
730.58662013190815,235
730.59665535550437,235
730.60669029810913,227
730.6167249597,237
730.626759340255,235
730.6367934397515,244
730.64682725816738,232
730.65686079548016,230
730.66689405166778,234
730.676927026708,238
730.68695972057822,220
730.69699213325623,221
730.70702426472,220
730.71705611494679,222
730.72708768391487,213
730.73711897160149,222
730.74714997798458,222
730.75718070304185,218
730.767211146751,225
730.77724130908973,218
730.787271190036,218
730.79730078956709,215
730.80733010766107,203
730.81735914429555,209
730.82738789944824,225
730.837416373097,224
730.84744456521946,220
730.85747247579332,205
730.86750010479659,204
730.87752745220666,203
730.88755451800148,205
730.89758130215876,199
730.907607804656,205
730.91763402547144,205
730.92765996458229,208
730.93768562196669,200
730.94771099760237,193
730.957736091467,186
730.96776090353819,190
730.977785433794,199
730.98780968221183,200
730.99783364876987,197
731.00785733344549,196
731.01788073621674,213
731.02790385706112,213
731.03792669595668,209
731.04794925288093,198
731.0579715278119,206
731.06799352072721,198
731.0780152316047,206
731.08803666042206,196
731.09805780715715,200
731.10807867178767,192
731.11809925429145,193
731.12811955464633,192
731.13813957283,188
731.14815930882037,181
731.15817876259518,180
731.16819793413208,182
731.17821682340912,182
731.18823543040389,179
731.19825375509424,187
731.208271797458,175
731.218289557473,176
731.22830703511693,175
731.23832423036765,183
731.24834114320311,177
731.25835777360089,178
731.26837412153884,172
731.2783901869949,182
731.28840596994689,176
731.29842147037255,184
731.30843668824969,185
731.31845162355592,187
731.32846627626941,186
731.33848064636788,180
731.34849473382917,179
731.35850853863087,176
731.36852206075116,179
731.37853530016764,174
731.38854825685814,177
731.39856093080073,173
731.40857332197288,172
731.41858543035278,175
731.42859725591791,176
731.43860879864633,176
731.4486200585161,179
731.4586310355046,166
731.46864172958988,172
731.47865214074977,170
731.48866226896223,175
731.49867211420508,168
731.508681676456,163
731.518690955693,170
731.52869995189394,176
731.53870866503644,179
731.54871709509871,178
731.55872524205859,177
731.56873310589344,171
731.5787406865818,187
731.58874798410113,177
731.59875499842929,181
731.6087617295442,177
731.618768177424,184
731.6287743420462,183
731.638780223389,172
731.6487858214299,171
731.658791136147,171
731.66879616751817,181
731.67880091552138,178
731.68880538013423,163
731.69880956133488,158
731.70881345910107,157
731.71881707341083,157
731.72882040424179,163
731.7388234515721,170
731.74882621537949,168
731.75882869564214,161
731.76883089233752,160
731.77883280544381,165
731.788834434939,168
731.79883578080069,165
731.80883684300682,165
731.81883762153541,170
731.82883811636464,171
731.838838327472,174
731.84883825483553,169
731.85883789843308,157
731.86883725824271,163
731.87883633424235,156
731.88883512640973,159
731.89883363472291,159
731.90883185915993,158
731.91882979969841,174
731.92882745631653,175
731.93882482899187,185
731.94882191770284,155
731.958818722427,168
731.96881524314279,168
731.9788114798273,169
731.98880743245923,173
731.99880310101616,168
732.00879848547606,178
732.018793585817,171
732.02878840201674,172
732.03878293405342,168
732.04877718190471,166
732.058771145549,173
732.06876482496386,172
732.07875822012727,165
732.08875133101731,162
732.0987441576118,166
732.108736699889,167
732.11872895782653,167
732.12872093140277,156
732.138712620595,155
732.14870402538179,158
732.15869514574092,160
732.16868598165024,163
732.17867653308792,162
732.1886668000318,166
732.19865678245969,170
732.2086464803499,156
732.21863589368036,158
732.22862502242879,167
732.23861386657347,165
732.24860242609213,163
732.25859070096294,157
732.26857869116373,158
732.27856639667277,164
732.28855381746757,170
732.29854095352664,168
732.30852780482769,153
732.31851437134867,153
732.32850065306775,164
732.33848664996276,173
732.34847236201188,170
732.35845778919293,162
732.36844293148408,159
732.37842778886329,155
732.38841236130838,159
732.39839664879753,161
732.4083806513089,146
732.41836436882011,150
732.42834780130966,161
732.438330948755,163
732.44831381113465,156
732.45829638842645,151
732.46827868060836,159
732.47826068765846,150
732.48824240955469,151
732.49822384627532,158
732.508204997798,159
732.51818586410093,159
732.52816644516224,157
732.53814674096,156
732.54812675147207,149
732.5581064766767,144
732.56808591655158,150
732.57806507107523,148
732.58804394022525,156
732.59802252397981,171
732.60800082231708,168
732.6179788352149,176
732.62795656265155,170
732.6379340046052,169
732.64791116105334,163
732.65788803197461,162
732.66786461734682,158
732.67784091714782,148
732.68781693135611,153
732.69779265994941,163
732.707768102906,163
732.71774326020386,164
732.72771813182112,160
732.73769271773563,157
732.74766701792555,150
732.75764103236918,142
732.76761476104434,152
732.77758820392921,155
732.78756136100185,159
732.79753423224042,157
732.80750681762288,155
732.81747911712739,153
732.8274511307319,149
732.83742285841458,150
732.84739430015372,154
732.857365455927,160
732.86733632571293,140
732.87730690948933,155
732.88727720723443,156
732.89724721892628,154
732.90721694454294,153
732.91718638406257,170
732.92715553746325,167
732.93712440472314,160
732.94709298582018,157
732.95706128073277,159
732.96702928943876,161
732.97699701191641,163
732.98696444814368,162
732.99693159809874,161
733.00689846175987,153
733.01686503910491,142
733.02683133011237,141
733.03679733476,146
733.0467630530261,156
733.05672848488882,162
733.06669363032609,159
733.07665848931629,162
733.08662306183737,169
733.09658734786763,169
733.10655134738488,171
733.11651506036776,175
733.1264784867941,172
733.13644162664207,175
733.14640447988961,176
733.15636704651536,164
733.166329326497,164
733.176291319813,164
733.18625302644125,168
733.19621444636,173
733.20617557954768,168
733.21613642598186,170
733.22609698564122,168
733.23605725850371,169
733.24601724454749,161
733.25597694375074,166
733.26593635609163,161
733.27589548154833,166
733.28585432009891,169
733.29581287172175,179
733.30577113639492,180
733.3157291140966,181
733.32568680480472,177
733.3356442084978,173
733.34560132515389,174
733.35555815475129,158
733.36551469726794,158
733.37547095268212,158
733.38542692097212,159
733.395382602116,153
733.40533799609216,156
733.41529310287842,159
733.42524792245331,166
733.435202454795,178
733.44515669988141,170
733.455110657691,176
733.46506432820183,174
733.47501771139207,169
733.4849708072403,166
733.49492361572425,165
733.5048761368223,160
733.51482837051276,168
733.52478031677379,165
733.53473197558344,165
733.54468334692012,167
733.55463443076212,156
733.56458522708726,170
733.57453573587418,155
733.58448595710092,169
733.59443589074579,154
733.60438553678682,163
733.61433489520255,150
733.6242839659709,155
733.63423274907018,156
733.64418124447877,166
733.65412945217474,165
733.66407737213638,161
733.674025004342,157
733.68397234876977,172
733.69391940539788,171
733.70386617420479,165
733.71381265516857,165
733.72375884826738,167
733.73370475347963,171
733.7436503707836,166
733.75359570015723,163
733.76354074157928,160
733.77348549502767,155
733.78342996048048,157
733.79337413791654,155
733.80331802731359,153
733.81326162865,152
733.82320494190424,153
733.83314796705463,176
733.843090704079,175
733.85303315295607,163
733.86297531366381,163
733.87291718618064,163
733.88285877048486,178
733.89280006655463,159
733.90274107436835,165
733.91268179390431,163
733.92262222514069,165
733.93256236805576,161
733.94250222262792,149
733.95244178883536,162
733.96238106665646,159
733.97232005606952,158
733.9822587570527,147
733.99219716958441,156
734.00213529364294,155
734.01207312920656,156
734.02201067625344,155
734.03194793476223,154
734.04188490471086,148
734.051821586078,149
734.06175797884157,143
734.07169408298,142
734.08162989847187,155
734.09156542529524,155
734.10150066342851,155
734.11143561285,152
734.12137027353788,148
734.13130464547066,145
734.14123872862672,149
734.15117252298421,148
734.16110602852132,148
734.17103924521666,143
734.18097217304853,143
734.19090481199532,156
734.2008371620351,153
734.21076922314649,160
734.22070099530742,143
734.23063247849677,158
734.24056367269259,142
734.25049457787293,152
734.26042519401665,149
734.270355521102,139
734.28028555910726,143
734.2902153080106,149
734.3001447677907,150
734.31007393842549,147
734.3200028198936,158
734.32993141217355,159
734.33985971524328,156
734.34978772908153,150
734.35971545366658,145
734.36964288897661,145
734.37957003499014,147
734.38949689168555,145
734.399423459041,151
734.4093497370352,152
734.41927572564623,149
734.42920142485275,152
734.43912683463293,143
734.44905195496506,151
734.45897678582787,143
734.46890132719921,142
734.478825579058,144
734.48874954138262,146
734.49867321415093,155
734.50859659734181,149
734.51851969093332,147
734.52844249490408,151
734.53836500923262,145
734.548287233897,147
734.55820916887581,151
734.56813081414725,150
734.57805216969007,150
734.58797323548242,149
734.59789401150272,153
734.60781449772946,141
734.61773469414118,143
734.62765460071591,140
734.63757421743242,142
734.647493544269,143
734.65741258120408,139
734.66733132821594,139
734.67724978528315,142
734.68716795238424,142
734.6970858294975,141
734.70700341660131,144
734.71692071367409,140
734.72683772069445,151
734.73675443764068,147
734.74667086449119,153
734.75658700122449,133
734.766502847819,131
734.77641840425315,140
734.78633367050543,138
734.7962486465542,146
734.80616333237788,143
734.81607772795519,157
734.8259918332642,156
734.83590564828364,154
734.84581917299181,148
734.85573240736721,148
734.86564535138837,148
734.87555800503355,145
734.88547036828152,142
734.89538244111043,139
734.90529422349891,137
734.91520571542537,138
734.92511691686832,158
734.93502782780627,152
734.94493844821761,154
