====== N (30) into diamond                      =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  N   Energy = 30 keV
============= TARGET MATERIAL ======================================
Layer  1 : diamond
Layer Width = 16000.E-01 AAA ;
  Layer # 1- Density = 17.59E22 atoms/cm3 = 3.51 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =99999.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY       ENERGY    
   DEPTH        from        Absorbed  
   (Ang.)       IONS        by Recoils
----------   ------------  -----------
160100.E-04  2445.91E-01  2459.59E-01
320100.E-04  1023.05E-01  1029.67E-01
480100.E-04  6688.54E-02  6735.08E-02
640100.E-04  4697.42E-02  4733.05E-02
800100.E-04  3498.21E-02  3526.34E-02
960100.E-04  2602.54E-02  2624.87E-02
112010.E-03  1944.98E-02  1962.78E-02
128010.E-03  1467.50E-02  1481.75E-02
144010.E-03  1119.43E-02  1130.66E-02
160010.E-03  8337.41E-03  8425.06E-03
176010.E-03  5999.30E-03  6066.36E-03
192010.E-03  4395.97E-03  4446.70E-03
208010.E-03  3155.50E-03  3193.05E-03
224010.E-03  2162.01E-03  2189.01E-03
240010.E-03  1490.30E-03  1509.71E-03
256010.E-03  9913.66E-04  1004.23E-03
272010.E-03  6237.28E-04  6325.52E-04
288010.E-03  3969.90E-04  4028.69E-04
304010.E-03  2600.97E-04  2639.00E-04
320010.E-03  1374.73E-04  1396.42E-04
336010.E-03  8076.38E-05  8204.44E-05
352010.E-03  5744.52E-05  5827.77E-05
368010.E-03  2295.87E-05  2336.93E-05
384010.E-03  1333.87E-05  1352.81E-05
400010.E-03  4761.14E-06  4858.64E-06
416010.E-03  2515.90E-06  2559.03E-06
432010.E-03  1263.10E-06  1281.85E-06
448010.E-03  2818.06E-06  2855.56E-06
464010.E-03  4521.69E-08  4709.19E-08
480010.E-03  0000.00E+00  0000.00E+00
496010.E-03  0000.00E+00  0000.00E+00
512010.E-03  0000.00E+00  0000.00E+00
528010.E-03  0000.00E+00  0000.00E+00
544010.E-03  0000.00E+00  0000.00E+00
560010.E-03  0000.00E+00  0000.00E+00
576010.E-03  0000.00E+00  0000.00E+00
592010.E-03  0000.00E+00  0000.00E+00
608010.E-03  0000.00E+00  0000.00E+00
624010.E-03  0000.00E+00  0000.00E+00
640010.E-03  0000.00E+00  0000.00E+00
656010.E-03  0000.00E+00  0000.00E+00
672010.E-03  0000.00E+00  0000.00E+00
688010.E-03  0000.00E+00  0000.00E+00
704010.E-03  0000.00E+00  0000.00E+00
720010.E-03  0000.00E+00  0000.00E+00
736010.E-03  0000.00E+00  0000.00E+00
752010.E-03  0000.00E+00  0000.00E+00
768010.E-03  0000.00E+00  0000.00E+00
784010.E-03  0000.00E+00  0000.00E+00
800010.E-03  0000.00E+00  0000.00E+00
816010.E-03  0000.00E+00  0000.00E+00
832010.E-03  0000.00E+00  0000.00E+00
848010.E-03  0000.00E+00  0000.00E+00
864010.E-03  0000.00E+00  0000.00E+00
880010.E-03  0000.00E+00  0000.00E+00
896010.E-03  0000.00E+00  0000.00E+00
912010.E-03  0000.00E+00  0000.00E+00
928010.E-03  0000.00E+00  0000.00E+00
944010.E-03  0000.00E+00  0000.00E+00
960010.E-03  0000.00E+00  0000.00E+00
976010.E-03  0000.00E+00  0000.00E+00
992010.E-03  0000.00E+00  0000.00E+00
100801.E-02  0000.00E+00  0000.00E+00
102401.E-02  0000.00E+00  0000.00E+00
104001.E-02  0000.00E+00  0000.00E+00
105601.E-02  0000.00E+00  0000.00E+00
107201.E-02  0000.00E+00  0000.00E+00
108801.E-02  0000.00E+00  0000.00E+00
110401.E-02  0000.00E+00  0000.00E+00
112001.E-02  0000.00E+00  0000.00E+00
113601.E-02  0000.00E+00  0000.00E+00
115201.E-02  0000.00E+00  0000.00E+00
116801.E-02  0000.00E+00  0000.00E+00
118401.E-02  0000.00E+00  0000.00E+00
120001.E-02  0000.00E+00  0000.00E+00
121601.E-02  0000.00E+00  0000.00E+00
123201.E-02  0000.00E+00  0000.00E+00
124801.E-02  0000.00E+00  0000.00E+00
126401.E-02  0000.00E+00  0000.00E+00
128001.E-02  0000.00E+00  0000.00E+00
129601.E-02  0000.00E+00  0000.00E+00
131201.E-02  0000.00E+00  0000.00E+00
132801.E-02  0000.00E+00  0000.00E+00
134401.E-02  0000.00E+00  0000.00E+00
136001.E-02  0000.00E+00  0000.00E+00
137601.E-02  0000.00E+00  0000.00E+00
139201.E-02  0000.00E+00  0000.00E+00
140801.E-02  0000.00E+00  0000.00E+00
142401.E-02  0000.00E+00  0000.00E+00
144001.E-02  0000.00E+00  0000.00E+00
145601.E-02  0000.00E+00  0000.00E+00
147201.E-02  0000.00E+00  0000.00E+00
148801.E-02  0000.00E+00  0000.00E+00
150401.E-02  0000.00E+00  0000.00E+00
152001.E-02  0000.00E+00  0000.00E+00
153601.E-02  0000.00E+00  0000.00E+00
155201.E-02  0000.00E+00  0000.00E+00
156801.E-02  0000.00E+00  0000.00E+00
158401.E-02  0000.00E+00  0000.00E+00
160001.E-02  0000.00E+00  0000.00E+00
