====== N (30) into diamond                      =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  N   Energy = 30 keV
 Total Ions calculated =99999.00
============= TARGET MATERIAL ======================================
Layer  1 : diamond
Layer Width = 16000.E-01 AAA ;
  Layer # 1- Density = 17.59E22 atoms/cm3 = 3.51 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 106216.E-03 A   Straggling = 686357.E-04 A
 Ion Lateral Range = 393057.E-03 A   Straggling = 408562.E-03 A
 Ion Radial  Range = 406779.E-03 A   Straggling = 109082.E-03 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1601000.E-05 38013405.E-05 40006903.E-05 39304718.E-05 12417986.E-05 
3201000.E-05 38089124.E-05 40034473.E-05 39357031.E-05 12209854.E-05 
4801000.E-05 38876399.E-05 40631067.E-05 40245623.E-05 11632288.E-05 
6401000.E-05 39055185.E-05 40715057.E-05 40396347.E-05 11271946.E-05 
8001000.E-05 39515750.E-05 41109011.E-05 40881202.E-05 11060401.E-05 
9601000.E-05 39753867.E-05 41301522.E-05 41118561.E-05 10885734.E-05 
1120100.E-04 39931048.E-05 41383899.E-05 41286996.E-05 10605818.E-05 
1280100.E-04 39906538.E-05 41271041.E-05 41390643.E-05 10187330.E-05 
1440100.E-04 39620140.E-05 41147756.E-05 41035076.E-05 10765113.E-05 
1600100.E-04 40130018.E-05 41458146.E-05 41471674.E-05 10145475.E-05 
1760100.E-04 39742566.E-05 41049998.E-05 41156212.E-05 10066197.E-05 
1920100.E-04 39966002.E-05 41333892.E-05 41449772.E-05 10298622.E-05 
2080100.E-04 39541218.E-05 40746705.E-05 40956710.E-05 95797142.E-06 
2240100.E-04 39137136.E-05 40477939.E-05 40539965.E-05 10004443.E-05 
2400100.E-04 39393831.E-05 40714077.E-05 40855215.E-05 99074233.E-06 
2560100.E-04 39141031.E-05 40364773.E-05 40384812.E-05 96083771.E-06 
2720100.E-04 38451704.E-05 39581301.E-05 39758793.E-05 91834486.E-06 
2880100.E-04 38661319.E-05 39834544.E-05 39986156.E-05 95141347.E-06 
3040100.E-04 38580530.E-05 39733181.E-05 40105328.E-05 88465640.E-06 
3200100.E-04 35661218.E-05 36988926.E-05 37230289.E-05 93355718.E-06 
3360100.E-04 36628621.E-05 37825114.E-05 38241363.E-05 87761532.E-06 
3520100.E-04 35410803.E-05 36549168.E-05 36810231.E-05 88466685.E-06 
3680100.E-04 32341966.E-05 33265686.E-05 33642001.E-05 75772553.E-06 
