====== N (30) into diamond                      =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  N   Energy = 30 keV
============= TARGET MATERIAL ======================================
Layer  1 : diamond
Layer Width =     2.E+03 AAA ;
  Layer # 1- Density = 17.59E22 atoms/cm3 = 3.51 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =99999.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
160100.E-04  824064.E-05  163483.E-03
320100.E-04  378566.E-05  720674.E-04
480100.E-04  265232.E-05  480703.E-04
640100.E-04  204853.E-05  344700.E-04
800100.E-04  162525.E-05  260076.E-04
960100.E-04  129662.E-05  196750.E-04
112010.E-03  106407.E-05  149429.E-04
128010.E-03  850593.E-06  113736.E-04
144010.E-03  679769.E-06  876127.E-05
160010.E-03  530375.E-06  658125.E-05
176010.E-03  415386.E-06  481900.E-05
192010.E-03  315078.E-06  355735.E-05
208010.E-03  238544.E-06  255561.E-05
224010.E-03  174453.E-06  179502.E-05
240010.E-03  127041.E-06  124039.E-05
256010.E-03  873900.E-07  824333.E-06
272010.E-03  591562.E-07  541357.E-06
288010.E-03  396274.E-07  338043.E-06
304010.E-03  270232.E-07  223296.E-06
320010.E-03  158371.E-07  123936.E-06
336010.E-03  955082.E-08  706200.E-07
352010.E-03  609264.E-08  494063.E-07
368010.E-03  287960.E-08  200465.E-07
384010.E-03  136156.E-08  126822.E-07
400010.E-03  616997.E-09  440349.E-08
416010.E-03  342799.E-09  166331.E-08
432010.E-03  180538.E-09  187877.E-08
448010.E-03  173606.E-09  230252.E-08
464010.E-03  533545.E-11  433814.E-10
480010.E-03  000000.E+00  000000.E+00
496010.E-03  000000.E+00  000000.E+00
512010.E-03  000000.E+00  000000.E+00
528010.E-03  000000.E+00  000000.E+00
544010.E-03  000000.E+00  000000.E+00
560010.E-03  000000.E+00  000000.E+00
576010.E-03  000000.E+00  000000.E+00
592010.E-03  000000.E+00  000000.E+00
608010.E-03  000000.E+00  000000.E+00
624010.E-03  000000.E+00  000000.E+00
640010.E-03  000000.E+00  000000.E+00
656010.E-03  000000.E+00  000000.E+00
672010.E-03  000000.E+00  000000.E+00
688010.E-03  000000.E+00  000000.E+00
704010.E-03  000000.E+00  000000.E+00
720010.E-03  000000.E+00  000000.E+00
736010.E-03  000000.E+00  000000.E+00
752010.E-03  000000.E+00  000000.E+00
768010.E-03  000000.E+00  000000.E+00
784010.E-03  000000.E+00  000000.E+00
800010.E-03  000000.E+00  000000.E+00
816010.E-03  000000.E+00  000000.E+00
832010.E-03  000000.E+00  000000.E+00
848010.E-03  000000.E+00  000000.E+00
864010.E-03  000000.E+00  000000.E+00
880010.E-03  000000.E+00  000000.E+00
896010.E-03  000000.E+00  000000.E+00
912010.E-03  000000.E+00  000000.E+00
928010.E-03  000000.E+00  000000.E+00
944010.E-03  000000.E+00  000000.E+00
960010.E-03  000000.E+00  000000.E+00
976010.E-03  000000.E+00  000000.E+00
992010.E-03  000000.E+00  000000.E+00
100801.E-02  000000.E+00  000000.E+00
102401.E-02  000000.E+00  000000.E+00
104001.E-02  000000.E+00  000000.E+00
105601.E-02  000000.E+00  000000.E+00
107201.E-02  000000.E+00  000000.E+00
108801.E-02  000000.E+00  000000.E+00
110401.E-02  000000.E+00  000000.E+00
112001.E-02  000000.E+00  000000.E+00
113601.E-02  000000.E+00  000000.E+00
115201.E-02  000000.E+00  000000.E+00
116801.E-02  000000.E+00  000000.E+00
118401.E-02  000000.E+00  000000.E+00
120001.E-02  000000.E+00  000000.E+00
121601.E-02  000000.E+00  000000.E+00
123201.E-02  000000.E+00  000000.E+00
124801.E-02  000000.E+00  000000.E+00
126401.E-02  000000.E+00  000000.E+00
128001.E-02  000000.E+00  000000.E+00
129601.E-02  000000.E+00  000000.E+00
131201.E-02  000000.E+00  000000.E+00
132801.E-02  000000.E+00  000000.E+00
134401.E-02  000000.E+00  000000.E+00
136001.E-02  000000.E+00  000000.E+00
137601.E-02  000000.E+00  000000.E+00
139201.E-02  000000.E+00  000000.E+00
140801.E-02  000000.E+00  000000.E+00
142401.E-02  000000.E+00  000000.E+00
144001.E-02  000000.E+00  000000.E+00
145601.E-02  000000.E+00  000000.E+00
147201.E-02  000000.E+00  000000.E+00
148801.E-02  000000.E+00  000000.E+00
150401.E-02  000000.E+00  000000.E+00
152001.E-02  000000.E+00  000000.E+00
153601.E-02  000000.E+00  000000.E+00
155201.E-02  000000.E+00  000000.E+00
156801.E-02  000000.E+00  000000.E+00
158401.E-02  000000.E+00  000000.E+00
160001.E-02  000000.E+00  000000.E+00
