====== N (30) into diamond                      =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  N   Energy = 30 keV
============= TARGET MATERIAL ======================================
Layer  1 : diamond
Layer Width =     2.E+03 A ;
  Layer # 1- Density = 17.59E22 atoms/cm3 = 3.51 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =99999.00
 Total Target Vacancies     = 98 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
160100.E-04  4559.63E-04  1934.81E-03  
320100.E-04  2207.42E-04  8327.43E-04  
480100.E-04  1551.52E-04  5468.92E-04  
640100.E-04  1187.72E-04  3835.83E-04  
800100.E-04  9376.66E-05  2848.40E-04  
960100.E-04  7442.95E-05  2115.45E-04  
112010.E-03  5935.62E-05  1572.28E-04  
128010.E-03  4749.67E-05  1171.73E-04  
144010.E-03  3746.10E-05  8920.64E-05  
160010.E-03  2921.65E-05  6584.11E-05  
176010.E-03  2235.33E-05  4698.08E-05  
192010.E-03  1691.14E-05  3425.86E-05  
208010.E-03  1251.76E-05  2416.87E-05  
224010.E-03  9000.72E-06  1669.13E-05  
240010.E-03  6470.69E-06  1125.94E-05  
256010.E-03  4288.17E-06  7449.60E-06  
272010.E-03  2941.28E-06  4757.20E-06  
288010.E-03  1959.39E-06  2828.50E-06  
304010.E-03  1267.51E-06  1883.25E-06  
320010.E-03  7231.32E-07  1022.29E-06  
336010.E-03  4268.79E-07  5610.09E-07  
352010.E-03  2775.03E-07  4176.14E-07  
368010.E-03  1368.76E-07  1448.43E-07  
384010.E-03  6312.56E-08  1172.15E-07  
400010.E-03  3250.03E-08  3043.14E-08  
416010.E-03  1437.51E-08  8656.87E-09  
432010.E-03  6250.06E-09  2003.17E-08  
448010.E-03  1250.01E-08  2073.05E-08  
464010.E-03  6250.06E-10  0000.00E+00  
480010.E-03  0000.00E+00  0000.00E+00  
496010.E-03  0000.00E+00  0000.00E+00  
512010.E-03  0000.00E+00  0000.00E+00  
528010.E-03  0000.00E+00  0000.00E+00  
544010.E-03  0000.00E+00  0000.00E+00  
560010.E-03  0000.00E+00  0000.00E+00  
576010.E-03  0000.00E+00  0000.00E+00  
592010.E-03  0000.00E+00  0000.00E+00  
608010.E-03  0000.00E+00  0000.00E+00  
624010.E-03  0000.00E+00  0000.00E+00  
640010.E-03  0000.00E+00  0000.00E+00  
656010.E-03  0000.00E+00  0000.00E+00  
672010.E-03  0000.00E+00  0000.00E+00  
688010.E-03  0000.00E+00  0000.00E+00  
704010.E-03  0000.00E+00  0000.00E+00  
720010.E-03  0000.00E+00  0000.00E+00  
736010.E-03  0000.00E+00  0000.00E+00  
752010.E-03  0000.00E+00  0000.00E+00  
768010.E-03  0000.00E+00  0000.00E+00  
784010.E-03  0000.00E+00  0000.00E+00  
800010.E-03  0000.00E+00  0000.00E+00  
816010.E-03  0000.00E+00  0000.00E+00  
832010.E-03  0000.00E+00  0000.00E+00  
848010.E-03  0000.00E+00  0000.00E+00  
864010.E-03  0000.00E+00  0000.00E+00  
880010.E-03  0000.00E+00  0000.00E+00  
896010.E-03  0000.00E+00  0000.00E+00  
912010.E-03  0000.00E+00  0000.00E+00  
928010.E-03  0000.00E+00  0000.00E+00  
944010.E-03  0000.00E+00  0000.00E+00  
960010.E-03  0000.00E+00  0000.00E+00  
976010.E-03  0000.00E+00  0000.00E+00  
992010.E-03  0000.00E+00  0000.00E+00  
100801.E-02  0000.00E+00  0000.00E+00  
102401.E-02  0000.00E+00  0000.00E+00  
104001.E-02  0000.00E+00  0000.00E+00  
105601.E-02  0000.00E+00  0000.00E+00  
107201.E-02  0000.00E+00  0000.00E+00  
108801.E-02  0000.00E+00  0000.00E+00  
110401.E-02  0000.00E+00  0000.00E+00  
112001.E-02  0000.00E+00  0000.00E+00  
113601.E-02  0000.00E+00  0000.00E+00  
115201.E-02  0000.00E+00  0000.00E+00  
116801.E-02  0000.00E+00  0000.00E+00  
118401.E-02  0000.00E+00  0000.00E+00  
120001.E-02  0000.00E+00  0000.00E+00  
121601.E-02  0000.00E+00  0000.00E+00  
123201.E-02  0000.00E+00  0000.00E+00  
124801.E-02  0000.00E+00  0000.00E+00  
126401.E-02  0000.00E+00  0000.00E+00  
128001.E-02  0000.00E+00  0000.00E+00  
