====== N (30) into Layer 1                      =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  N   Energy = 30 keV
============= TARGET MATERIAL ======================================
Layer 1 : diamond
Layer Width = 12000.E-01 A ;
  Layer # 1- Density = 17.54E22 atoms/cm3 = 3.5 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =099999.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
120100.E-04  5041.15E-02  5684.52E-03
240100.E-04  5012.52E-02  6826.13E-03
360100.E-04  4988.35E-02  8197.11E-03
480100.E-04  4969.66E-02  8347.02E-03
600100.E-04  4906.07E-02  8159.79E-03
720100.E-04  4844.66E-02  8303.03E-03
840100.E-04  4785.34E-02  8589.51E-03
960100.E-04  4712.35E-02  8804.15E-03
108010.E-03  4644.93E-02  9292.30E-03
120010.E-03  4569.53E-02  8937.63E-03
132010.E-03  4487.81E-02  9132.67E-03
144010.E-03  4400.82E-02  9088.81E-03
156010.E-03  4328.95E-02  9440.30E-03
168010.E-03  4226.15E-02  9266.11E-03
180010.E-03  4125.24E-02  9621.64E-03
192010.E-03  4059.24E-02  9587.05E-03
204010.E-03  3963.45E-02  9678.11E-03
216010.E-03  3838.61E-02  9754.01E-03
228010.E-03  3731.15E-02  9919.44E-03
240010.E-03  3637.01E-02  9827.19E-03
252010.E-03  3507.63E-02  9853.42E-03
264010.E-03  3376.17E-02  9805.77E-03
276010.E-03  3243.47E-02  9705.11E-03
288010.E-03  3106.93E-02  9776.15E-03
300010.E-03  2953.68E-02  9648.37E-03
312010.E-03  2801.64E-02  9245.20E-03
324010.E-03  2644.26E-02  9306.25E-03
336010.E-03  2469.84E-02  9044.21E-03
348010.E-03  2314.70E-02  8539.35E-03
360010.E-03  2146.11E-02  8245.71E-03
372010.E-03  1969.65E-02  7824.04E-03
384010.E-03  1795.26E-02  7442.47E-03
396010.E-03  1626.46E-02  6830.86E-03
408010.E-03  1462.34E-02  6441.78E-03
420010.E-03  1290.75E-02  5890.29E-03
432010.E-03  1133.04E-02  5308.87E-03
444010.E-03  9816.05E-03  4706.59E-03
456010.E-03  8504.61E-03  4181.91E-03
468010.E-03  7189.23E-03  3704.59E-03
480010.E-03  5992.95E-03  3132.52E-03
492010.E-03  4916.23E-03  2713.71E-03
504010.E-03  4015.02E-03  2195.74E-03
516010.E-03  3201.40E-03  1760.95E-03
528010.E-03  2507.03E-03  1445.80E-03
540010.E-03  1940.53E-03  1088.34E-03
552010.E-03  1490.38E-03  9120.58E-04
564010.E-03  1115.46E-03  6876.65E-04
576010.E-03  8127.54E-04  5309.65E-04
588010.E-03  5767.34E-04  3612.43E-04
600010.E-03  4053.77E-04  2650.33E-04
612010.E-03  2798.84E-04  1761.41E-04
624010.E-03  1999.93E-04  1341.93E-04
636010.E-03  1246.15E-04  8310.01E-05
648010.E-03  8215.84E-05  6037.02E-05
660010.E-03  5089.64E-05  3320.60E-05
672010.E-03  3035.32E-05  2326.62E-05
684010.E-03  2124.28E-05  1324.67E-05
696010.E-03  1200.22E-05  9863.54E-06
708010.E-03  6411.56E-06  4809.46E-06
720010.E-03  3654.97E-06  2213.86E-06
732010.E-03  2001.90E-06  1513.13E-06
744010.E-03  1190.18E-06  8327.76E-07
756010.E-03  6694.26E-07  5328.52E-07
768010.E-03  1232.01E-07  2417.51E-07
780010.E-03  4942.55E-08  7905.34E-09
792010.E-03  5573.66E-08  2451.59E-07
804010.E-03  0000.00E+00  0000.00E+00
816010.E-03  0000.00E+00  0000.00E+00
828010.E-03  0000.00E+00  0000.00E+00
840010.E-03  0000.00E+00  0000.00E+00
852010.E-03  0000.00E+00  0000.00E+00
864010.E-03  0000.00E+00  0000.00E+00
876010.E-03  0000.00E+00  0000.00E+00
888010.E-03  0000.00E+00  0000.00E+00
900010.E-03  0000.00E+00  0000.00E+00
912010.E-03  0000.00E+00  0000.00E+00
924010.E-03  0000.00E+00  0000.00E+00
936010.E-03  0000.00E+00  0000.00E+00
948010.E-03  0000.00E+00  0000.00E+00
960010.E-03  0000.00E+00  0000.00E+00
972010.E-03  0000.00E+00  0000.00E+00
984010.E-03  0000.00E+00  0000.00E+00
996010.E-03  0000.00E+00  0000.00E+00
100801.E-02  0000.00E+00  0000.00E+00
102001.E-02  0000.00E+00  0000.00E+00
103201.E-02  0000.00E+00  0000.00E+00
104401.E-02  0000.00E+00  0000.00E+00
105601.E-02  0000.00E+00  0000.00E+00
106801.E-02  0000.00E+00  0000.00E+00
108001.E-02  0000.00E+00  0000.00E+00
109201.E-02  0000.00E+00  0000.00E+00
110401.E-02  0000.00E+00  0000.00E+00
111601.E-02  0000.00E+00  0000.00E+00
112801.E-02  0000.00E+00  0000.00E+00
114001.E-02  0000.00E+00  0000.00E+00
115201.E-02  0000.00E+00  0000.00E+00
116401.E-02  0000.00E+00  0000.00E+00
117601.E-02  0000.00E+00  0000.00E+00
118801.E-02  0000.00E+00  0000.00E+00
120001.E-02  0000.00E+00  0000.00E+00
