====== N (30) into Layer 1                      =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  N   Energy = 30 keV
 Total Ions calculated =99999.00
============= TARGET MATERIAL ======================================
Layer  1 : diamond
Layer Width = 12000.E-01 AAA ;
  Layer # 1- Density = 17.54E22 atoms/cm3 = 3.5 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 396852.E-03 A   Straggling = 111334.E-03 A
 Ion Lateral Range = 821856.E-04 A   Straggling = 103172.E-03 A
 Ion Radial  Range = 129291.E-03 A   Straggling = 683743.E-04 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1201000.E-05 55729951.E-06 77294321.E-06 83208266.E-06 47228433.E-06 
2401000.E-05 37097508.E-06 55124462.E-06 63298080.E-06 48530993.E-06 
3601000.E-05 42996802.E-06 56882685.E-06 69283679.E-06 56504767.E-06 
4801000.E-05 54302855.E-06 73788999.E-06 73984978.E-06 57000563.E-06 
6001000.E-05 50376629.E-06 69130556.E-06 80400381.E-06 59894764.E-06 
7201000.E-05 57575531.E-06 77458463.E-06 85253269.E-06 60245574.E-06 
8401000.E-05 59837574.E-06 75118803.E-06 89875850.E-06 51675843.E-06 
9601000.E-05 54677923.E-06 73496718.E-06 90685701.E-06 61479608.E-06 
1080100.E-04 58151465.E-06 76726730.E-06 93090039.E-06 65077164.E-06 
1200100.E-04 61470061.E-06 81834932.E-06 94419455.E-06 63130220.E-06 
1320100.E-04 66479280.E-06 87225633.E-06 10252049.E-05 64274290.E-06 
1440100.E-04 70704803.E-06 96597548.E-06 10857555.E-05 70173497.E-06 
1560100.E-04 73644513.E-06 92519094.E-06 11475903.E-05 67656458.E-06 
1680100.E-04 76496420.E-06 98037195.E-06 11935528.E-05 71649207.E-06 
1800100.E-04 75684239.E-06 96602480.E-06 11505014.E-05 69540757.E-06 
1920100.E-04 79586246.E-06 10191404.E-05 12450514.E-05 72297086.E-06 
2040100.E-04 79180209.E-06 10042713.E-05 12537560.E-05 70202461.E-06 
2160100.E-04 78475518.E-06 10005601.E-05 12635568.E-05 71224027.E-06 
2280100.E-04 84828215.E-06 10802659.E-05 13207581.E-05 73795597.E-06 
2400100.E-04 83271368.E-06 10497201.E-05 13039858.E-05 72687761.E-06 
2520100.E-04 81591147.E-06 10484184.E-05 12785812.E-05 71849810.E-06 
2640100.E-04 83554190.E-06 10522067.E-05 12823196.E-05 71461356.E-06 
2760100.E-04 82886227.E-06 10495101.E-05 13182062.E-05 72471697.E-06 
