====== N (30) into Layer 1                      =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  N   Energy = 30 keV
============= TARGET MATERIAL ======================================
Layer  1 : diamond
Layer Width =     1.E+03 AAA ;
  Layer # 1- Density = 17.54E22 atoms/cm3 = 3.5 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =99999.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
120100.E-04  875184.E-06  109382.E-04
240100.E-04  748735.E-06  131111.E-04
360100.E-04  756105.E-06  159114.E-04
480100.E-04  773577.E-06  161591.E-04
600100.E-04  795537.E-06  161909.E-04
720100.E-04  816699.E-06  165784.E-04
840100.E-04  837728.E-06  172376.E-04
960100.E-04  859333.E-06  177616.E-04
108010.E-03  887453.E-06  185837.E-04
120010.E-03  908476.E-06  184859.E-04
132010.E-03  937302.E-06  189876.E-04
144010.E-03  971926.E-06  193797.E-04
156010.E-03  996644.E-06  201285.E-04
168010.E-03  102737.E-05  202066.E-04
180010.E-03  105585.E-05  210821.E-04
192010.E-03  109190.E-05  212033.E-04
204010.E-03  112093.E-05  216784.E-04
216010.E-03  115829.E-05  220809.E-04
228010.E-03  119369.E-05  227282.E-04
240010.E-03  124459.E-05  228911.E-04
252010.E-03  126940.E-05  232883.E-04
264010.E-03  130768.E-05  234347.E-04
276010.E-03  134284.E-05  235815.E-04
288010.E-03  136928.E-05  239575.E-04
300010.E-03  139155.E-05  239208.E-04
312010.E-03  140521.E-05  235021.E-04
324010.E-03  142656.E-05  236330.E-04
336010.E-03  143071.E-05  233536.E-04
348010.E-03  144505.E-05  225920.E-04
360010.E-03  143787.E-05  220074.E-04
372010.E-03  142266.E-05  212208.E-04
384010.E-03  140305.E-05  203454.E-04
396010.E-03  135436.E-05  191185.E-04
408010.E-03  131488.E-05  181691.E-04
420010.E-03  126440.E-05  168200.E-04
432010.E-03  118768.E-05  154066.E-04
444010.E-03  111077.E-05  138282.E-04
456010.E-03  102454.E-05  124554.E-04
468010.E-03  937321.E-06  111341.E-04
480010.E-03  839932.E-06  956103.E-05
492010.E-03  741849.E-06  833377.E-05
504010.E-03  653719.E-06  690351.E-05
516010.E-03  547797.E-06  563081.E-05
528010.E-03  464082.E-06  463849.E-05
540010.E-03  382865.E-06  358778.E-05
552010.E-03  310360.E-06  297935.E-05
564010.E-03  243781.E-06  226334.E-05
576010.E-03  193064.E-06  176476.E-05
588010.E-03  145037.E-06  123656.E-05
600010.E-03  110301.E-06  915473.E-06
612010.E-03  803663.E-07  622060.E-06
624010.E-03  588552.E-07  470143.E-06
636010.E-03  395100.E-07  295894.E-06
648010.E-03  280504.E-07  210767.E-06
660010.E-03  185262.E-07  122156.E-06
672010.E-03  108056.E-07  808477.E-07
684010.E-03  667815.E-08  488485.E-07
696010.E-03  434295.E-08  346327.E-07
708010.E-03  296159.E-08  183873.E-07
720010.E-03  194318.E-08  923684.E-08
732010.E-03  132963.E-08  598377.E-08
744010.E-03  641513.E-09  337889.E-08
756010.E-03  341369.E-09  205025.E-08
768010.E-03  116132.E-09  912770.E-09
780010.E-03  308383.E-10  491582.E-10
792010.E-03  291696.E-10  722693.E-09
804010.E-03  000000.E+00  000000.E+00
816010.E-03  000000.E+00  000000.E+00
828010.E-03  000000.E+00  000000.E+00
840010.E-03  000000.E+00  000000.E+00
852010.E-03  000000.E+00  000000.E+00
864010.E-03  000000.E+00  000000.E+00
876010.E-03  000000.E+00  000000.E+00
888010.E-03  000000.E+00  000000.E+00
900010.E-03  000000.E+00  000000.E+00
912010.E-03  000000.E+00  000000.E+00
924010.E-03  000000.E+00  000000.E+00
936010.E-03  000000.E+00  000000.E+00
948010.E-03  000000.E+00  000000.E+00
960010.E-03  000000.E+00  000000.E+00
972010.E-03  000000.E+00  000000.E+00
984010.E-03  000000.E+00  000000.E+00
996010.E-03  000000.E+00  000000.E+00
100801.E-02  000000.E+00  000000.E+00
102001.E-02  000000.E+00  000000.E+00
103201.E-02  000000.E+00  000000.E+00
104401.E-02  000000.E+00  000000.E+00
105601.E-02  000000.E+00  000000.E+00
106801.E-02  000000.E+00  000000.E+00
108001.E-02  000000.E+00  000000.E+00
109201.E-02  000000.E+00  000000.E+00
110401.E-02  000000.E+00  000000.E+00
111601.E-02  000000.E+00  000000.E+00
112801.E-02  000000.E+00  000000.E+00
114001.E-02  000000.E+00  000000.E+00
115201.E-02  000000.E+00  000000.E+00
116401.E-02  000000.E+00  000000.E+00
117601.E-02  000000.E+00  000000.E+00
118801.E-02  000000.E+00  000000.E+00
120001.E-02  000000.E+00  000000.E+00
