DEPTH,Ga,O,Si,C
5.51,0.00,34113000.00,28574000.00,60183.00
11.01,0.00,31297000.00,33424000.00,47455.00
16.51,0.00,40541000.00,41948000.00,73274.00
22.01,727.28,47372000.00,48753000.00,116910.00
27.51,363.64,53420000.00,54613000.00,220730.00
33.01,1272.70,58265000.00,59689000.00,469470.00
38.51,1090.90,61730000.00,63392000.00,1161300.00
44.01,2909.10,62264000.00,65325000.00,4209300.00
49.51,4363.70,50851000.00,56396000.00,18853000.00
55.01,9454.60,37280000.00,28736000.00,134300000.00
60.51,14182.00,6871600.00,3579800.00,195180000.00
66.01,22909.00,2420200.00,1196300.00,205260000.00
71.51,40910.00,1370500.00,685660.00,212100000.00
77.01,58001.00,936940.00,470740.00,218500000.00
82.51,85455.00,687840.00,355100.00,224740000.00
88.01,111090.00,535840.00,271640.00,229410000.00
93.51,142180.00,448920.00,218550.00,234300000.00
99.01,193460.00,362010.00,179090.00,237930000.00
104.51,233280.00,295640.00,158730.00,241060000.00
110.01,300010.00,265820.00,128910.00,243570000.00
115.51,345100.00,241820.00,115270.00,244390000.00
121.01,409100.00,213100.00,104730.00,243480000.00
126.51,496560.00,190370.00,85637.00,240930000.00
132.01,568200.00,168730.00,73819.00,236120000.00
137.51,649660.00,151090.00,65092.00,230460000.00
143.01,739660.00,132360.00,56910.00,222370000.00
148.51,804030.00,121820.00,56183.00,212990000.00
154.01,882210.00,114000.00,47455.00,202180000.00
159.51,918400.00,102180.00,43637.00,189720000.00
165.01,956400.00,96546.00,39091.00,176240000.00
170.51,960400.00,89455.00,35637.00,162330000.00
176.01,950400.00,83455.00,32728.00,148070000.00
181.51,939310.00,73455.00,34364.00,134060000.00
187.01,929850.00,68546.00,30182.00,120180000.00
192.51,890760.00,63455.00,22364.00,106040000.00
198.01,802390.00,53819.00,20364.00,94002000.00
203.51,742930.00,52183.00,19091.00,81770000.00
209.01,657660.00,46546.00,14546.00,70873000.00
214.51,598200.00,38910.00,15091.00,61128000.00
220.01,501110.00,37273.00,12000.00,52137000.00
225.51,445650.00,36546.00,13636.00,43807000.00
231.01,368740.00,36000.00,9636.50,36561000.00
236.51,305280.00,30000.00,11091.00,30622000.00
242.01,247640.00,26000.00,7454.60,25766000.00
247.51,199460.00,26728.00,6363.70,21387000.00
253.01,160370.00,19818.00,6909.20,17754000.00
258.51,127090.00,19818.00,6727.30,14794000.00
264.01,96365.00,22182.00,2909.10,12124000.00
269.51,75092.00,17637.00,4545.50,10083000.00
275.01,52728.00,16727.00,3454.60,8406900.00
280.51,37455.00,12000.00,2727.30,7049600.00
286.01,32728.00,12364.00,3090.90,5777200.00
291.51,22727.00,11636.00,2000.00,4762600.00
297.01,15637.00,12546.00,1454.60,4000500.00
302.51,10364.00,8545.50,1818.20,3282200.00
308.01,7091.00,8181.90,909.10,2761600.00
313.51,4545.50,8000.10,363.64,2310000.00
319.01,3818.20,6909.20,0.00,1885800.00
324.51,2181.80,6909.20,363.64,1624400.00
330.01,363.64,4727.30,181.82,1331400.00
335.51,1090.90,4000.00,545.46,1127100.00
341.01,363.64,3636.40,181.82,924580.00
346.51,181.82,2909.10,363.64,786570.00
352.01,727.28,2727.30,363.64,657480.00
357.51,181.82,909.10,0.00,508020.00
363.01,0.00,3454.60,0.00,441470.00
368.51,181.82,1818.20,0.00,354920.00
374.01,0.00,2000.00,0.00,294190.00
379.51,0.00,1636.40,0.00,236190.00
385.01,181.82,1272.70,0.00,197090.00
390.51,0.00,363.64,0.00,157270.00
396.01,0.00,545.46,0.00,122910.00
401.51,0.00,909.10,0.00,111090.00
407.01,0.00,181.82,0.00,78728.00
412.51,0.00,727.28,0.00,53455.00
418.01,0.00,181.82,0.00,38364.00
423.51,0.00,363.64,0.00,38364.00
429.01,0.00,363.64,0.00,33455.00
434.51,0.00,363.64,0.00,22546.00
440.01,0.00,0.00,0.00,18364.00
445.51,0.00,0.00,0.00,12182.00
451.01,0.00,0.00,0.00,5818.20
456.51,0.00,181.82,0.00,3090.90
462.01,0.00,0.00,0.00,2727.30
467.51,0.00,0.00,0.00,1818.20
473.01,0.00,0.00,0.00,545.46
478.51,0.00,0.00,0.00,1454.60
484.01,0.00,0.00,0.00,909.10
489.51,0.00,0.00,0.00,1636.40
495.01,0.00,0.00,0.00,363.64
500.51,0.00,0.00,0.00,181.82
506.01,0.00,0.00,0.00,0.00
511.51,0.00,0.00,0.00,0.00
517.01,0.00,0.00,0.00,0.00
522.51,0.00,0.00,0.00,0.00
528.01,0.00,0.00,0.00,0.00
533.51,0.00,0.00,0.00,0.00
539.01,0.00,0.00,0.00,0.00
544.51,0.00,0.00,0.00,0.00
550.01,0.00,0.00,0.00,0.00
