====== N (30) into diamond                      =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  N   Energy = 30 keV
============= TARGET MATERIAL ======================================
Layer 1 : diamond
Layer Width = 16000.E-01 A ;
  Layer # 1- Density = 17.59E22 atoms/cm3 = 3.51 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =099999.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
160100.E-04  4328.34E-01  8008.05E-02
320100.E-04  1333.08E-01  3194.73E-02
480100.E-04  7113.82E-02  2031.51E-02
640100.E-04  4405.01E-02  1379.73E-02
800100.E-04  2877.80E-02  1011.33E-02
960100.E-04  1959.09E-02  7388.97E-03
112010.E-03  1357.21E-02  5440.80E-03
128010.E-03  9461.65E-03  4006.10E-03
144010.E-03  6669.90E-03  3034.00E-03
160010.E-03  4660.96E-03  2242.62E-03
176010.E-03  3241.43E-03  1594.79E-03
192010.E-03  2212.79E-03  1160.45E-03
208010.E-03  1517.90E-03  8180.34E-04
224010.E-03  9973.01E-04  5669.30E-04
240010.E-03  6538.51E-04  3849.89E-04
256010.E-03  4148.31E-04  2533.04E-04
272010.E-03  2660.04E-04  1629.23E-04
288010.E-03  1664.56E-04  9779.43E-05
304010.E-03  9750.15E-05  6464.10E-05
320010.E-03  5420.46E-05  3657.29E-05
336010.E-03  3108.53E-05  1968.15E-05
352010.E-03  1685.70E-05  1446.51E-05
368010.E-03  7353.75E-06  5344.21E-06
384010.E-03  3756.69E-06  3954.29E-06
400010.E-03  2250.64E-06  1168.69E-06
416010.E-03  8986.03E-07  3900.33E-07
432010.E-03  8506.98E-07  6218.68E-07
448010.E-03  5050.15E-07  6585.51E-07
464010.E-03  3975.53E-09  9081.05E-09
480010.E-03  0000.00E+00  0000.00E+00
496010.E-03  0000.00E+00  0000.00E+00
512010.E-03  0000.00E+00  0000.00E+00
528010.E-03  0000.00E+00  0000.00E+00
544010.E-03  0000.00E+00  0000.00E+00
560010.E-03  0000.00E+00  0000.00E+00
576010.E-03  0000.00E+00  0000.00E+00
592010.E-03  0000.00E+00  0000.00E+00
608010.E-03  0000.00E+00  0000.00E+00
624010.E-03  0000.00E+00  0000.00E+00
640010.E-03  0000.00E+00  0000.00E+00
656010.E-03  0000.00E+00  0000.00E+00
672010.E-03  0000.00E+00  0000.00E+00
688010.E-03  0000.00E+00  0000.00E+00
704010.E-03  0000.00E+00  0000.00E+00
720010.E-03  0000.00E+00  0000.00E+00
736010.E-03  0000.00E+00  0000.00E+00
752010.E-03  0000.00E+00  0000.00E+00
768010.E-03  0000.00E+00  0000.00E+00
784010.E-03  0000.00E+00  0000.00E+00
800010.E-03  0000.00E+00  0000.00E+00
816010.E-03  0000.00E+00  0000.00E+00
832010.E-03  0000.00E+00  0000.00E+00
848010.E-03  0000.00E+00  0000.00E+00
864010.E-03  0000.00E+00  0000.00E+00
880010.E-03  0000.00E+00  0000.00E+00
896010.E-03  0000.00E+00  0000.00E+00
912010.E-03  0000.00E+00  0000.00E+00
928010.E-03  0000.00E+00  0000.00E+00
944010.E-03  0000.00E+00  0000.00E+00
960010.E-03  0000.00E+00  0000.00E+00
976010.E-03  0000.00E+00  0000.00E+00
992010.E-03  0000.00E+00  0000.00E+00
100801.E-02  0000.00E+00  0000.00E+00
102401.E-02  0000.00E+00  0000.00E+00
104001.E-02  0000.00E+00  0000.00E+00
105601.E-02  0000.00E+00  0000.00E+00
107201.E-02  0000.00E+00  0000.00E+00
108801.E-02  0000.00E+00  0000.00E+00
110401.E-02  0000.00E+00  0000.00E+00
112001.E-02  0000.00E+00  0000.00E+00
113601.E-02  0000.00E+00  0000.00E+00
115201.E-02  0000.00E+00  0000.00E+00
116801.E-02  0000.00E+00  0000.00E+00
118401.E-02  0000.00E+00  0000.00E+00
120001.E-02  0000.00E+00  0000.00E+00
121601.E-02  0000.00E+00  0000.00E+00
123201.E-02  0000.00E+00  0000.00E+00
124801.E-02  0000.00E+00  0000.00E+00
126401.E-02  0000.00E+00  0000.00E+00
128001.E-02  0000.00E+00  0000.00E+00
129601.E-02  0000.00E+00  0000.00E+00
131201.E-02  0000.00E+00  0000.00E+00
132801.E-02  0000.00E+00  0000.00E+00
134401.E-02  0000.00E+00  0000.00E+00
136001.E-02  0000.00E+00  0000.00E+00
137601.E-02  0000.00E+00  0000.00E+00
139201.E-02  0000.00E+00  0000.00E+00
140801.E-02  0000.00E+00  0000.00E+00
142401.E-02  0000.00E+00  0000.00E+00
144001.E-02  0000.00E+00  0000.00E+00
145601.E-02  0000.00E+00  0000.00E+00
147201.E-02  0000.00E+00  0000.00E+00
148801.E-02  0000.00E+00  0000.00E+00
150401.E-02  0000.00E+00  0000.00E+00
152001.E-02  0000.00E+00  0000.00E+00
153601.E-02  0000.00E+00  0000.00E+00
155201.E-02  0000.00E+00  0000.00E+00
156801.E-02  0000.00E+00  0000.00E+00
158401.E-02  0000.00E+00  0000.00E+00
160001.E-02  0000.00E+00  0000.00E+00
