====== N (30) into diamond                      =======
        SRIM-2013.00
==================================================
      ION and final RECOIL ATOM Distributions     
 See  SRIM Outputs\TDATA.txt for calculation details
==================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
----------------------------------------------------------------
  There are NO RECOILS unless a full TRIM calculation is made.   
----------------------------------------------------------------
See file :  SRIM Outputs\TDATA.txt   for details of calculation
 Ion    =  N   Energy = 30  keV
============= TARGET MATERIAL ======================================
Layer  1 : diamond
Layer Width =     2.E+03 A   Layer # 1- Density = 17.59E22 atoms/cm3 = 3.51 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =99999.00
 Ion Average Range =   106.2E+00 A   Straggling =   686.4E-01 A
 Ion Lateral Range =   393.1E+00 A   Straggling =   408.6E+00 A
 Ion Radial  Range =   406.8E+00 A   Straggling =   109.1E+00 A
====================================================================
 Transmitted Ions =;  Backscattered Ions =47929
 (These are not included in Skewne- and Kurtosis below.)

 Range Skewne- = 000.7543  &= [-(X-Rp)^3]/[N*Straggle^3]
 Range Kurtosis = 003.2556  &= [-(X-Rp)^4]/[N*Straggle^4]
 Statistical definitions above are those used in VLSI implant modelling.
====================================================================
=================================================================
  Table Distribution Units are >>>  (Atoms/cm3) / (Atoms/cm2)  <<<  
=================================================================
   DEPTH          N       Recoil     
   (Ang.)       Ions     Distribution
-----------  ----------  ------------
160100.E-04  1.8313E+05  0.0000E+00
320100.E-04  2.5963E+05  0.0000E+00
480100.E-04  2.9075E+05  0.0000E+00
640100.E-04  3.0888E+05  0.0000E+00
800100.E-04  3.0282E+05  0.0000E+00
960100.E-04  2.8650E+05  0.0000E+00
112010.E-03  2.7763E+05  0.0000E+00
128010.E-03  2.4838E+05  0.0000E+00
144010.E-03  2.1994E+05  0.0000E+00
160010.E-03  1.9106E+05  0.0000E+00
176010.E-03  1.5956E+05  0.0000E+00
192010.E-03  1.3081E+05  0.0000E+00
208010.E-03  1.0394E+05  0.0000E+00
224010.E-03  8.3688E+04  0.0000E+00
240010.E-03  6.3938E+04  0.0000E+00
256010.E-03  4.6750E+04  0.0000E+00
272010.E-03  3.2063E+04  0.0000E+00
288010.E-03  2.3125E+04  0.0000E+00
304010.E-03  1.5563E+04  0.0000E+00
320010.E-03  1.0188E+04  0.0000E+00
336010.E-03  6.5626E+03  0.0000E+00
352010.E-03  4.6250E+03  0.0000E+00
368010.E-03  2.6875E+03  0.0000E+00
384010.E-03  1.1875E+03  0.0000E+00
400010.E-03  3.7500E+02  0.0000E+00
416010.E-03  3.7500E+02  0.0000E+00
432010.E-03  0.0000E+00  0.0000E+00
448010.E-03  1.2500E+02  0.0000E+00
464010.E-03  1.2500E+02  0.0000E+00
