====== N (30) into Layer 1                      =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  N   Energy = 30 keV
============= TARGET MATERIAL ======================================
Layer  1 : diamond
Layer Width = 12000.E-01 AAA ;
  Layer # 1- Density = 17.54E22 atoms/cm3 = 3.5 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =99999.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY       ENERGY    
   DEPTH        from        Absorbed  
   (Ang.)       IONS        by Recoils
----------   ------------  -----------
120100.E-04  2259.78E-02  2268.41E-02
240100.E-04  2295.24E-02  2305.83E-02
360100.E-04  2328.47E-02  2341.27E-02
480100.E-04  2434.24E-02  2447.30E-02
600100.E-04  2414.76E-02  2428.12E-02
720100.E-04  2467.14E-02  2480.87E-02
840100.E-04  2582.35E-02  2596.52E-02
960100.E-04  2637.10E-02  2651.72E-02
108010.E-03  2720.50E-02  2735.62E-02
120010.E-03  2724.99E-02  2740.52E-02
132010.E-03  2748.47E-02  2764.56E-02
144010.E-03  2837.85E-02  2854.59E-02
156010.E-03  2920.07E-02  2937.37E-02
168010.E-03  2895.13E-02  2912.97E-02
180010.E-03  3028.72E-02  3047.08E-02
192010.E-03  3037.76E-02  3056.65E-02
204010.E-03  3068.92E-02  3088.48E-02
216010.E-03  3137.86E-02  3158.13E-02
228010.E-03  3211.83E-02  3232.88E-02
240010.E-03  3186.69E-02  3208.30E-02
252010.E-03  3258.34E-02  3280.62E-02
264010.E-03  3254.09E-02  3276.97E-02
276010.E-03  3255.44E-02  3278.85E-02
288010.E-03  3308.77E-02  3332.76E-02
300010.E-03  3236.81E-02  3261.12E-02
312010.E-03  3214.31E-02  3239.07E-02
324010.E-03  3174.18E-02  3199.04E-02
336010.E-03  3127.59E-02  3152.61E-02
348010.E-03  3019.93E-02  3044.98E-02
360010.E-03  2913.55E-02  2938.40E-02
372010.E-03  2805.65E-02  2830.12E-02
384010.E-03  2650.57E-02  2674.38E-02
396010.E-03  2491.42E-02  2514.58E-02
408010.E-03  2342.81E-02  2365.18E-02
420010.E-03  2162.93E-02  2184.13E-02
432010.E-03  1961.88E-02  1981.72E-02
444010.E-03  1753.03E-02  1771.23E-02
456010.E-03  1566.73E-02  1583.43E-02
468010.E-03  1392.75E-02  1407.97E-02
480010.E-03  1191.49E-02  1204.98E-02
492010.E-03  1025.99E-02  1037.79E-02
504010.E-03  8410.08E-03  8512.01E-03
516010.E-03  6836.08E-03  6922.20E-03
528010.E-03  5578.66E-03  5650.03E-03
540010.E-03  4291.93E-03  4349.71E-03
552010.E-03  3524.08E-03  3571.56E-03
564010.E-03  2713.67E-03  2750.45E-03
576010.E-03  2058.40E-03  2087.26E-03
588010.E-03  1447.71E-03  1468.98E-03
600010.E-03  1041.15E-03  1057.21E-03
612010.E-03  7199.09E-04  7312.64E-04
624010.E-03  5307.85E-04  5391.72E-04
636010.E-03  3344.95E-04  3399.15E-04
648010.E-03  2334.88E-04  2373.71E-04
660010.E-03  1382.97E-04  1407.02E-04
672010.E-03  8946.55E-05  9084.55E-05
684010.E-03  5575.26E-05  5670.76E-05
696010.E-03  3914.46E-05  3977.46E-05
708010.E-03  1814.00E-05  1853.50E-05
720010.E-03  9336.52E-06  9561.53E-06
732010.E-03  6308.33E-06  6413.33E-06
744010.E-03  3454.15E-06  3534.15E-06
756010.E-03  2357.29E-06  2409.80E-06
768010.E-03  6893.13E-07  7018.13E-07
780010.E-03  1316.62E-08  1316.62E-08
792010.E-03  9633.08E-07  9708.08E-07
804010.E-03  0000.00E+00  0000.00E+00
816010.E-03  0000.00E+00  0000.00E+00
828010.E-03  0000.00E+00  0000.00E+00
840010.E-03  0000.00E+00  0000.00E+00
852010.E-03  0000.00E+00  0000.00E+00
864010.E-03  0000.00E+00  0000.00E+00
876010.E-03  0000.00E+00  0000.00E+00
888010.E-03  0000.00E+00  0000.00E+00
900010.E-03  0000.00E+00  0000.00E+00
912010.E-03  0000.00E+00  0000.00E+00
924010.E-03  0000.00E+00  0000.00E+00
936010.E-03  0000.00E+00  0000.00E+00
948010.E-03  0000.00E+00  0000.00E+00
960010.E-03  0000.00E+00  0000.00E+00
972010.E-03  0000.00E+00  0000.00E+00
984010.E-03  0000.00E+00  0000.00E+00
996010.E-03  0000.00E+00  0000.00E+00
100801.E-02  0000.00E+00  0000.00E+00
102001.E-02  0000.00E+00  0000.00E+00
103201.E-02  0000.00E+00  0000.00E+00
104401.E-02  0000.00E+00  0000.00E+00
105601.E-02  0000.00E+00  0000.00E+00
106801.E-02  0000.00E+00  0000.00E+00
108001.E-02  0000.00E+00  0000.00E+00
109201.E-02  0000.00E+00  0000.00E+00
110401.E-02  0000.00E+00  0000.00E+00
111601.E-02  0000.00E+00  0000.00E+00
112801.E-02  0000.00E+00  0000.00E+00
114001.E-02  0000.00E+00  0000.00E+00
115201.E-02  0000.00E+00  0000.00E+00
116401.E-02  0000.00E+00  0000.00E+00
117601.E-02  0000.00E+00  0000.00E+00
118801.E-02  0000.00E+00  0000.00E+00
120001.E-02  0000.00E+00  0000.00E+00
