====== Si (30) into diamond                     =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Si   Energy = 30 keV
 Total Ions calculated =99999.00
============= TARGET MATERIAL ======================================
Layer  1 : diamond
Layer Width = 10000.E-01 AAA ;
  Layer # 1- Density = 17.59E22 atoms/cm3 = 3.51 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 559294.E-04 A   Straggling = 375273.E-04 A
 Ion Lateral Range = 223422.E-03 A   Straggling = 233657.E-03 A
 Ion Radial  Range = 229866.E-03 A   Straggling = 682539.E-04 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1001000.E-05 20905022.E-05 22159466.E-05 21490933.E-05 73741912.E-06 
2001000.E-05 20936174.E-05 22132482.E-05 21544866.E-05 71961601.E-06 
3001000.E-05 21384711.E-05 22521700.E-05 21989033.E-05 70574457.E-06 
4001000.E-05 21588078.E-05 22680662.E-05 22238749.E-05 69609780.E-06 
5001000.E-05 22123107.E-05 23125486.E-05 22753796.E-05 67155619.E-06 
6001000.E-05 22519977.E-05 23487563.E-05 23178518.E-05 66605778.E-06 
7001000.E-05 22672084.E-05 23631978.E-05 23335507.E-05 66284027.E-06 
8001000.E-05 23137945.E-05 24038408.E-05 23794874.E-05 64939274.E-06 
9001000.E-05 23556567.E-05 24433217.E-05 24220697.E-05 63976302.E-06 
1000100.E-04 23605514.E-05 24447921.E-05 24284037.E-05 63247899.E-06 
1100100.E-04 23531471.E-05 24419711.E-05 24242192.E-05 64424475.E-06 
1200100.E-04 24325207.E-05 25066217.E-05 25001068.E-05 60035908.E-06 
1300100.E-04 24058588.E-05 24774135.E-05 24736030.E-05 58572978.E-06 
1400100.E-04 24728190.E-05 25419375.E-05 25389627.E-05 58492888.E-06 
1500100.E-04 24000421.E-05 24775549.E-05 24674224.E-05 60289398.E-06 
1600100.E-04 24840394.E-05 25543941.E-05 25528626.E-05 59049482.E-06 
1700100.E-04 24238762.E-05 24816809.E-05 24914268.E-05 52223950.E-06 
1800100.E-04 23629648.E-05 24395600.E-05 24430486.E-05 59286293.E-06 
1900100.E-04 25000583.E-05 25572544.E-05 25650557.E-05 53645986.E-06 
2000100.E-04 23846289.E-05 24424710.E-05 24987891.E-05 52656617.E-06 
2100100.E-04 24304854.E-05 24787284.E-05 25245039.E-05 48196820.E-06 
2200100.E-04 25496914.E-05 26145980.E-05 26323937.E-05 53336519.E-06 
2300100.E-04 26103284.E-05 26576067.E-05 27051359.E-05 47697747.E-06 
