====== Si (30) into diamond                     =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = Si   Energy = 30 keV
============= TARGET MATERIAL ======================================
Layer  1 : diamond
Layer Width =     1.E+03 AAA ;
  Layer # 1- Density = 17.59E22 atoms/cm3 = 3.51 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =99999.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
100100.E-04  146891.E-04  480487.E-03
200100.E-04  654606.E-05  188102.E-03
300100.E-04  456140.E-05  114302.E-03
400100.E-04  334773.E-05  761078.E-04
500100.E-04  254764.E-05  521376.E-04
600100.E-04  194221.E-05  363792.E-04
700100.E-04  146113.E-05  253655.E-04
800100.E-04  111098.E-05  175928.E-04
900100.E-04  833179.E-06  122146.E-04
100010.E-03  613214.E-06  864279.E-05
110010.E-03  438935.E-06  570720.E-05
120010.E-03  313514.E-06  385017.E-05
130010.E-03  221017.E-06  253602.E-05
140010.E-03  149374.E-06  164801.E-05
150010.E-03  985201.E-07  966142.E-06
160010.E-03  634172.E-07  607549.E-06
170010.E-03  396245.E-07  348130.E-06
180010.E-03  240803.E-07  195997.E-06
190010.E-03  140219.E-07  136759.E-06
200010.E-03  857804.E-08  737819.E-07
210010.E-03  450310.E-08  353751.E-07
220010.E-03  312923.E-08  160239.E-07
230010.E-03  136880.E-08  874561.E-08
240010.E-03  587254.E-09  823790.E-08
250010.E-03  266082.E-09  117883.E-08
260010.E-03  242912.E-09  126243.E-08
270010.E-03  148645.E-09  479168.E-09
280010.E-03  159407.E-09  224445.E-09
290010.E-03  000000.E+00  000000.E+00
300010.E-03  000000.E+00  000000.E+00
310010.E-03  000000.E+00  000000.E+00
320010.E-03  000000.E+00  000000.E+00
330010.E-03  000000.E+00  000000.E+00
340010.E-03  000000.E+00  000000.E+00
350010.E-03  000000.E+00  000000.E+00
360010.E-03  000000.E+00  000000.E+00
370010.E-03  000000.E+00  000000.E+00
380010.E-03  000000.E+00  000000.E+00
390010.E-03  000000.E+00  000000.E+00
400010.E-03  000000.E+00  000000.E+00
410010.E-03  000000.E+00  000000.E+00
420010.E-03  000000.E+00  000000.E+00
430010.E-03  000000.E+00  000000.E+00
440010.E-03  000000.E+00  000000.E+00
450010.E-03  000000.E+00  000000.E+00
460010.E-03  000000.E+00  000000.E+00
470010.E-03  000000.E+00  000000.E+00
480010.E-03  000000.E+00  000000.E+00
490010.E-03  000000.E+00  000000.E+00
500010.E-03  000000.E+00  000000.E+00
510010.E-03  000000.E+00  000000.E+00
520010.E-03  000000.E+00  000000.E+00
530010.E-03  000000.E+00  000000.E+00
540010.E-03  000000.E+00  000000.E+00
550010.E-03  000000.E+00  000000.E+00
560010.E-03  000000.E+00  000000.E+00
570010.E-03  000000.E+00  000000.E+00
580010.E-03  000000.E+00  000000.E+00
590010.E-03  000000.E+00  000000.E+00
600010.E-03  000000.E+00  000000.E+00
610010.E-03  000000.E+00  000000.E+00
620010.E-03  000000.E+00  000000.E+00
630010.E-03  000000.E+00  000000.E+00
640010.E-03  000000.E+00  000000.E+00
650010.E-03  000000.E+00  000000.E+00
660010.E-03  000000.E+00  000000.E+00
670010.E-03  000000.E+00  000000.E+00
680010.E-03  000000.E+00  000000.E+00
690010.E-03  000000.E+00  000000.E+00
700010.E-03  000000.E+00  000000.E+00
710010.E-03  000000.E+00  000000.E+00
720010.E-03  000000.E+00  000000.E+00
730010.E-03  000000.E+00  000000.E+00
740010.E-03  000000.E+00  000000.E+00
750010.E-03  000000.E+00  000000.E+00
760010.E-03  000000.E+00  000000.E+00
770010.E-03  000000.E+00  000000.E+00
780010.E-03  000000.E+00  000000.E+00
790010.E-03  000000.E+00  000000.E+00
800010.E-03  000000.E+00  000000.E+00
810010.E-03  000000.E+00  000000.E+00
820010.E-03  000000.E+00  000000.E+00
830010.E-03  000000.E+00  000000.E+00
840010.E-03  000000.E+00  000000.E+00
850010.E-03  000000.E+00  000000.E+00
860010.E-03  000000.E+00  000000.E+00
870010.E-03  000000.E+00  000000.E+00
880010.E-03  000000.E+00  000000.E+00
890010.E-03  000000.E+00  000000.E+00
900010.E-03  000000.E+00  000000.E+00
910010.E-03  000000.E+00  000000.E+00
920010.E-03  000000.E+00  000000.E+00
930010.E-03  000000.E+00  000000.E+00
940010.E-03  000000.E+00  000000.E+00
950010.E-03  000000.E+00  000000.E+00
960010.E-03  000000.E+00  000000.E+00
970010.E-03  000000.E+00  000000.E+00
980010.E-03  000000.E+00  000000.E+00
990010.E-03  000000.E+00  000000.E+00
100001.E-02  000000.E+00  000000.E+00
