====== Si (10) into Layer 1                     =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Si   Energy = 30 keV
 Total Ions calculated =99999.00
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width = 80000.E-02 AAA ;
  Layer # 1- Density = 17.54E22 atoms/cm3 = 3.5 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 224718.E-03 A   Straggling = 687195.E-04 A
 Ion Lateral Range = 428337.E-04 A   Straggling = 543344.E-04 A
 Ion Radial  Range = 670959.E-04 A   Straggling = 369524.E-04 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
8010000.E-06 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1601000.E-05 85913267.E-06 10240686.E-05 90964639.E-06 60685509.E-06 
2401000.E-05 32512149.E-06 54403335.E-06 41255550.E-06 41700207.E-06 
3201000.E-05 22111774.E-06 29847199.E-06 32965727.E-06 22615391.E-06 
4001000.E-05 24399579.E-06 34098756.E-06 37364862.E-06 26882090.E-06 
4801000.E-05 23596434.E-06 31990016.E-06 35846670.E-06 24778846.E-06 
5601000.E-05 24237689.E-06 32275408.E-06 39563972.E-06 25622844.E-06 
6401000.E-05 28477214.E-06 37694720.E-06 41254123.E-06 27867959.E-06 
7201000.E-05 24822349.E-06 32410043.E-06 40999897.E-06 26972306.E-06 
8001000.E-05 28960369.E-06 38141376.E-06 43577932.E-06 26584802.E-06 
8801000.E-05 28516297.E-06 37763722.E-06 44743241.E-06 29356852.E-06 
9601000.E-05 30359527.E-06 39121629.E-06 46903408.E-06 27941201.E-06 
1040100.E-04 31904542.E-06 41600400.E-06 50275870.E-06 30276896.E-06 
1120100.E-04 32020168.E-06 41482932.E-06 50801055.E-06 30543605.E-06 
1200100.E-04 33466131.E-06 43149128.E-06 53280940.E-06 31456582.E-06 
1280100.E-04 34518411.E-06 44908684.E-06 54666337.E-06 31426697.E-06 
1360100.E-04 35672446.E-06 45694040.E-06 56862545.E-06 33014429.E-06 
1440100.E-04 38050248.E-06 48418191.E-06 58438476.E-06 32564309.E-06 
1520100.E-04 37033398.E-06 47309056.E-06 58899436.E-06 33787730.E-06 
1600100.E-04 38527252.E-06 48997284.E-06 60495710.E-06 34024698.E-06 
