DEPTH         Si          C    
801000.E-05  0.0000E+00  3.4130E+07
160100.E-04  0.0000E+00  4.5283E+07
240100.E-04  8.7501E+02  5.4143E+07
320100.E-04  3.0000E+03  6.1176E+07
400100.E-04  5.5001E+03  6.6895E+07
480100.E-04  1.1375E+04  7.1741E+07
560100.E-04  1.8750E+04  7.6455E+07
640100.E-04  3.4375E+04  8.0498E+07
720100.E-04  4.4000E+04  8.4684E+07
800100.E-04  6.2501E+04  8.8656E+07
880100.E-04  8.5876E+04  9.2313E+07
960100.E-04  1.1175E+05  9.5750E+07
104010.E-03  1.3650E+05  9.8847E+07
112010.E-03  1.6100E+05  1.0168E+08
120010.E-03  1.8763E+05  1.0475E+08
128010.E-03  2.1613E+05  1.0735E+08
136010.E-03  2.5350E+05  1.0891E+08
144010.E-03  2.9125E+05  1.1032E+08
152010.E-03  3.1263E+05  1.1144E+08
160010.E-03  3.5425E+05  1.1224E+08
168010.E-03  3.9150E+05  1.1173E+08
176010.E-03  4.3000E+05  1.1056E+08
184010.E-03  4.6538E+05  1.0943E+08
192010.E-03  4.7950E+05  1.0679E+08
200010.E-03  5.0676E+05  1.0429E+08
208010.E-03  5.2088E+05  1.0081E+08
216010.E-03  5.5476E+05  9.6424E+07
224010.E-03  5.4951E+05  9.2084E+07
232010.E-03  5.6376E+05  8.7074E+07
240010.E-03  5.3338E+05  8.1761E+07
248010.E-03  5.3826E+05  7.5771E+07
256010.E-03  5.1951E+05  6.9826E+07
264010.E-03  4.9313E+05  6.4032E+07
272010.E-03  4.7750E+05  5.8049E+07
280010.E-03  4.4775E+05  5.1880E+07
288010.E-03  4.0400E+05  4.6084E+07
296010.E-03  3.8613E+05  4.0417E+07
304010.E-03  3.3663E+05  3.5103E+07
312010.E-03  2.9275E+05  3.0302E+07
320010.E-03  2.5250E+05  2.5672E+07
328010.E-03  2.1775E+05  2.1629E+07
336010.E-03  1.8038E+05  1.8132E+07
344010.E-03  1.5425E+05  1.5018E+07
352010.E-03  1.2713E+05  1.2315E+07
360010.E-03  1.0050E+05  1.0054E+07
368010.E-03  7.5876E+04  8.2066E+06
376010.E-03  5.6626E+04  6.6146E+06
384010.E-03  4.2625E+04  5.1506E+06
392010.E-03  3.6375E+04  4.0874E+06
400010.E-03  2.3750E+04  3.1868E+06
408010.E-03  1.6750E+04  2.4924E+06
416010.E-03  1.1750E+04  2.0104E+06
424010.E-03  9.0001E+03  1.5915E+06
432010.E-03  3.8750E+03  1.2474E+06
440010.E-03  4.3750E+03  9.4238E+05
448010.E-03  1.3750E+03  7.8513E+05
456010.E-03  1.2500E+03  6.0026E+05
464010.E-03  8.7501E+02  4.9788E+05
472010.E-03  2.5000E+02  4.1663E+05
480010.E-03  1.2500E+02  3.3688E+05
488010.E-03  2.5000E+02  2.8450E+05
496010.E-03  1.2500E+02  2.0963E+05
504010.E-03  0.0000E+00  1.6763E+05
512010.E-03  1.2500E+02  1.2850E+05
520010.E-03  0.0000E+00  9.6126E+04
528010.E-03  0.0000E+00  7.4876E+04
536010.E-03  1.2500E+02  4.7875E+04
544010.E-03  0.0000E+00  3.7875E+04
552010.E-03  0.0000E+00  2.8375E+04
560010.E-03  0.0000E+00  2.0750E+04
568010.E-03  0.0000E+00  1.5625E+04
576010.E-03  0.0000E+00  1.2125E+04
584010.E-03  0.0000E+00  8.1251E+03
592010.E-03  0.0000E+00  6.1251E+03
600010.E-03  0.0000E+00  6.0001E+03
608010.E-03  0.0000E+00  5.0001E+03
616010.E-03  0.0000E+00  5.5001E+03
624010.E-03  0.0000E+00  5.6251E+03
632010.E-03  0.0000E+00  2.2500E+03
640010.E-03  0.0000E+00  7.5001E+02
648010.E-03  0.0000E+00  6.2501E+02
656010.E-03  0.0000E+00  5.0001E+02
664010.E-03  0.0000E+00  0.0000E+00
672010.E-03  0.0000E+00  0.0000E+00
680010.E-03  0.0000E+00  0.0000E+00
688010.E-03  0.0000E+00  0.0000E+00
696010.E-03  0.0000E+00  0.0000E+00
704010.E-03  0.0000E+00  0.0000E+00
712010.E-03  0.0000E+00  0.0000E+00
720010.E-03  0.0000E+00  0.0000E+00
728010.E-03  0.0000E+00  0.0000E+00
736010.E-03  0.0000E+00  0.0000E+00
744010.E-03  0.0000E+00  0.0000E+00
752010.E-03  0.0000E+00  0.0000E+00
760010.E-03  0.0000E+00  0.0000E+00
768010.E-03  0.0000E+00  0.0000E+00
776010.E-03  0.0000E+00  0.0000E+00
784010.E-03  0.0000E+00  0.0000E+00
792010.E-03  0.0000E+00  0.0000E+00
800010.E-03  0.0000E+00  0.0000E+00
