DEPTH,Si,C
8.01E+00,0.00E+00,3.41E+07
1.60E+01,0.00E+00,4.53E+07
2.40E+01,8.75E+02,5.41E+07
3.20E+01,3.00E+03,6.12E+07
4.00E+01,5.50E+03,6.69E+07
4.80E+01,1.14E+04,7.17E+07
5.60E+01,1.88E+04,7.65E+07
6.40E+01,3.44E+04,8.05E+07
7.20E+01,4.40E+04,8.47E+07
8.00E+01,6.25E+04,8.87E+07
8.80E+01,8.59E+04,9.23E+07
9.60E+01,1.12E+05,9.58E+07
1.04E+02,1.37E+05,9.88E+07
1.12E+02,1.61E+05,1.02E+08
1.20E+02,1.88E+05,1.05E+08
1.28E+02,2.16E+05,1.07E+08
1.36E+02,2.54E+05,1.09E+08
1.44E+02,2.91E+05,1.10E+08
1.52E+02,3.13E+05,1.11E+08
1.60E+02,3.54E+05,1.12E+08
1.68E+02,3.92E+05,1.12E+08
1.76E+02,4.30E+05,1.11E+08
1.84E+02,4.65E+05,1.09E+08
1.92E+02,4.80E+05,1.07E+08
2.00E+02,5.07E+05,1.04E+08
2.08E+02,5.21E+05,1.01E+08
2.16E+02,5.55E+05,9.64E+07
2.24E+02,5.50E+05,9.21E+07
2.32E+02,5.64E+05,8.71E+07
2.40E+02,5.33E+05,8.18E+07
2.48E+02,5.38E+05,7.58E+07
2.56E+02,5.20E+05,6.98E+07
2.64E+02,4.93E+05,6.40E+07
2.72E+02,4.78E+05,5.80E+07
2.80E+02,4.48E+05,5.19E+07
2.88E+02,4.04E+05,4.61E+07
2.96E+02,3.86E+05,4.04E+07
3.04E+02,3.37E+05,3.51E+07
3.12E+02,2.93E+05,3.03E+07
3.20E+02,2.53E+05,2.57E+07
3.28E+02,2.18E+05,2.16E+07
3.36E+02,1.80E+05,1.81E+07
3.44E+02,1.54E+05,1.50E+07
3.52E+02,1.27E+05,1.23E+07
3.60E+02,1.01E+05,1.01E+07
3.68E+02,7.59E+04,8.21E+06
3.76E+02,5.66E+04,6.61E+06
3.84E+02,4.26E+04,5.15E+06
3.92E+02,3.64E+04,4.09E+06
4.00E+02,2.38E+04,3.19E+06
4.08E+02,1.68E+04,2.49E+06
4.16E+02,1.18E+04,2.01E+06
4.24E+02,9.00E+03,1.59E+06
4.32E+02,3.88E+03,1.25E+06
4.40E+02,4.38E+03,9.42E+05
4.48E+02,1.38E+03,7.85E+05
4.56E+02,1.25E+03,6.00E+05
4.64E+02,8.75E+02,4.98E+05
4.72E+02,2.50E+02,4.17E+05
4.80E+02,1.25E+02,3.37E+05
4.88E+02,2.50E+02,2.85E+05
4.96E+02,1.25E+02,2.10E+05
5.04E+02,0.00E+00,1.68E+05
5.12E+02,1.25E+02,1.29E+05
5.20E+02,0.00E+00,9.61E+04
5.28E+02,0.00E+00,7.49E+04
5.36E+02,1.25E+02,4.79E+04
5.44E+02,0.00E+00,3.79E+04
5.52E+02,0.00E+00,2.84E+04
5.60E+02,0.00E+00,2.08E+04
5.68E+02,0.00E+00,1.56E+04
5.76E+02,0.00E+00,1.21E+04
5.84E+02,0.00E+00,8.13E+03
5.92E+02,0.00E+00,6.13E+03
6.00E+02,0.00E+00,6.00E+03
6.08E+02,0.00E+00,5.00E+03
6.16E+02,0.00E+00,5.50E+03
6.24E+02,0.00E+00,5.63E+03
6.32E+02,0.00E+00,2.25E+03
6.40E+02,0.00E+00,7.50E+02
6.48E+02,0.00E+00,6.25E+02
6.56E+02,0.00E+00,5.00E+02
6.64E+02,0.00E+00,0.00E+00
6.72E+02,0.00E+00,0.00E+00
6.80E+02,0.00E+00,0.00E+00
6.88E+02,0.00E+00,0.00E+00
6.96E+02,0.00E+00,0.00E+00
7.04E+02,0.00E+00,0.00E+00
7.12E+02,0.00E+00,0.00E+00
7.20E+02,0.00E+00,0.00E+00
7.28E+02,0.00E+00,0.00E+00
7.36E+02,0.00E+00,0.00E+00
7.44E+02,0.00E+00,0.00E+00
7.52E+02,0.00E+00,0.00E+00
7.60E+02,0.00E+00,0.00E+00
7.68E+02,0.00E+00,0.00E+00
7.76E+02,0.00E+00,0.00E+00
7.84E+02,0.00E+00,0.00E+00
7.92E+02,0.00E+00,0.00E+00
8.00E+02,0.00E+00,0.00E+00
