DEPTH,N,Recoil
510000.E-06,2.4400E+05,8.8201E+06
101000.E-05,3.1200E+05,7.1721E+06
151000.E-05,4.2800E+05,9.7621E+06
201000.E-05,6.5801E+05,1.2296E+07
251000.E-05,8.5801E+05,2.7010E+07
301000.E-05,1.0440E+06,2.9414E+07
351000.E-05,1.3640E+06,3.4324E+07
401000.E-05,1.6600E+06,2.3406E+07
451000.E-05,1.9840E+06,2.4564E+07
501000.E-05,2.3340E+06,2.7056E+07
551000.E-05,2.4380E+06,3.0112E+07
601000.E-05,2.9980E+06,3.3362E+07
651000.E-05,3.1940E+06,3.6022E+07
701000.E-05,3.4320E+06,3.7428E+07
751000.E-05,3.8280E+06,3.9980E+07
801000.E-05,4.0780E+06,4.1384E+07
851000.E-05,4.3960E+06,4.2250E+07
901000.E-05,4.7800E+06,4.3198E+07
951000.E-05,4.8960E+06,4.4232E+07
100100.E-04,5.1881E+06,4.4314E+07
105100.E-04,5.3301E+06,4.3804E+07
110100.E-04,5.5981E+06,4.4226E+07
115100.E-04,5.7101E+06,4.3598E+07
120100.E-04,5.7781E+06,4.3224E+07
125100.E-04,6.1201E+06,4.2368E+07
130100.E-04,5.9461E+06,4.1628E+07
135100.E-04,5.7921E+06,4.0702E+07
140100.E-04,5.8541E+06,3.9412E+07
145100.E-04,6.1801E+06,3.8928E+07
150100.E-04,5.9861E+06,3.6218E+07
155100.E-04,5.8621E+06,3.4496E+07
160100.E-04,5.7161E+06,3.3442E+07
165100.E-04,5.6181E+06,3.1468E+07
170100.E-04,5.2921E+06,2.9100E+07
175100.E-04,5.2261E+06,2.8158E+07
180100.E-04,5.1521E+06,2.6690E+07
185100.E-04,4.8140E+06,2.4438E+07
190100.E-04,4.5700E+06,2.2366E+07
195100.E-04,4.4760E+06,2.1316E+07
200100.E-04,4.1060E+06,1.9240E+07
205100.E-04,3.9360E+06,1.7642E+07
210100.E-04,3.7660E+06,1.6240E+07
215100.E-04,3.4420E+06,1.4372E+07
220100.E-04,3.1900E+06,1.3424E+07
225100.E-04,2.9480E+06,1.2018E+07
230100.E-04,2.7420E+06,1.0846E+07
235100.E-04,2.3260E+06,9.5621E+06
240100.E-04,2.0060E+06,8.6841E+06
245100.E-04,2.0280E+06,7.4221E+06
250100.E-04,1.8080E+06,6.6421E+06
255100.E-04,1.4960E+06,5.9881E+06
260100.E-04,1.5220E+06,5.1121E+06
265100.E-04,1.3180E+06,4.4760E+06
270100.E-04,1.1780E+06,3.8700E+06
275100.E-04,9.8001E+05,3.3380E+06
280100.E-04,9.1401E+05,2.8180E+06
285100.E-04,7.2001E+05,2.4320E+06
290100.E-04,6.1401E+05,2.0160E+06
295100.E-04,5.3601E+05,1.6960E+06
300100.E-04,5.1001E+05,1.4120E+06
305100.E-04,4.2800E+05,1.2100E+06
310100.E-04,3.3400E+05,1.0080E+06
315100.E-04,2.5200E+05,8.5601E+05
320100.E-04,2.4600E+05,6.9801E+05
325100.E-04,2.5400E+05,5.5401E+05
330100.E-04,1.5400E+05,4.9200E+05
335100.E-04,1.4400E+05,3.6000E+05
340100.E-04,1.3000E+05,3.1400E+05
345100.E-04,9.8001E+04,2.7600E+05
350100.E-04,6.2001E+04,1.7200E+05
355100.E-04,5.6001E+04,1.5600E+05
360100.E-04,4.2000E+04,1.3400E+05
365100.E-04,3.2000E+04,1.0200E+05
370100.E-04,2.8000E+04,7.6001E+04
375100.E-04,2.6000E+04,4.6000E+04
380100.E-04,2.0000E+04,4.2000E+04
385100.E-04,1.6000E+04,4.8000E+04
390100.E-04,8.0001E+03,5.8001E+04
395100.E-04,6.0001E+03,4.0000E+04
400100.E-04,6.0001E+03,1.4000E+04
405100.E-04,4.0000E+03,4.0000E+03
410100.E-04,2.0000E+03,8.0001E+03
415100.E-04,2.0000E+03,2.0000E+03
420100.E-04,2.0000E+03,1.2000E+04
425100.E-04,0.0000E+00,0.0000E+00
430100.E-04,4.0000E+03,4.0000E+03
435100.E-04,0.0000E+00,0.0000E+00
440100.E-04,0.0000E+00,0.0000E+00
445100.E-04,0.0000E+00,2.0000E+03
450100.E-04,2.0000E+03,0.0000E+00
455100.E-04,0.0000E+00,2.0000E+03
460100.E-04,0.0000E+00,0.0000E+00
465100.E-04,0.0000E+00,0.0000E+00
470100.E-04,0.0000E+00,0.0000E+00
475100.E-04,0.0000E+00,0.0000E+00
480100.E-04,0.0000E+00,0.0000E+00
485100.E-04,0.0000E+00,0.0000E+00
490100.E-04,0.0000E+00,2.0000E+03
495100.E-04,0.0000E+00,0.0000E+00
500100.E-04,0.0000E+00,0.0000E+00
