DEPTH,Si,Recoil
510000.E-06,0.0000E+00,5.1901E+06
101000.E-05,2.0000E+03,4.8580E+06
151000.E-05,2.0000E+03,8.5021E+06
201000.E-05,2.0000E+03,1.1908E+07
251000.E-05,1.2000E+04,3.1624E+07
301000.E-05,1.0000E+04,3.5564E+07
351000.E-05,3.8000E+04,3.9354E+07
401000.E-05,3.8000E+04,2.7822E+07
451000.E-05,1.0600E+05,3.0786E+07
501000.E-05,1.6400E+05,3.4300E+07
551000.E-05,2.9600E+05,3.9016E+07
601000.E-05,5.2801E+05,4.4564E+07
651000.E-05,7.4001E+05,4.8488E+07
701000.E-05,1.2580E+06,5.1799E+07
751000.E-05,1.7240E+06,5.5765E+07
801000.E-05,2.5040E+06,5.7657E+07
851000.E-05,3.5860E+06,5.9555E+07
901000.E-05,4.0420E+06,6.0777E+07
951000.E-05,5.0061E+06,6.3223E+07
100100.E-04,6.4961E+06,6.2407E+07
105100.E-04,7.1641E+06,6.1645E+07
110100.E-04,7.1381E+06,6.2565E+07
115100.E-04,8.9641E+06,6.1577E+07
120100.E-04,1.0156E+07,5.8339E+07
125100.E-04,8.8121E+06,5.7045E+07
130100.E-04,1.0114E+07,5.5303E+07
135100.E-04,1.1106E+07,5.1507E+07
140100.E-04,1.0028E+07,4.8846E+07
145100.E-04,9.2761E+06,4.7238E+07
150100.E-04,1.0546E+07,4.3072E+07
155100.E-04,1.0198E+07,3.8950E+07
160100.E-04,7.7261E+06,3.6790E+07
165100.E-04,8.3841E+06,3.3560E+07
170100.E-04,8.2741E+06,2.9164E+07
175100.E-04,6.7161E+06,2.6398E+07
180100.E-04,5.7461E+06,2.3564E+07
185100.E-04,6.0081E+06,2.0636E+07
190100.E-04,5.0841E+06,1.8200E+07
195100.E-04,3.5560E+06,1.5678E+07
200100.E-04,3.8260E+06,1.3752E+07
205100.E-04,3.3180E+06,1.1220E+07
210100.E-04,2.3920E+06,9.7181E+06
215100.E-04,1.8880E+06,8.4441E+06
220100.E-04,1.8340E+06,7.0301E+06
225100.E-04,1.3760E+06,5.7361E+06
230100.E-04,8.4201E+05,4.7280E+06
235100.E-04,8.0201E+05,3.9000E+06
240100.E-04,5.8001E+05,3.3360E+06
245100.E-04,4.1800E+05,2.6960E+06
250100.E-04,2.8200E+05,2.2160E+06
255100.E-04,3.1200E+05,1.7700E+06
260100.E-04,2.1200E+05,1.3760E+06
265100.E-04,9.2001E+04,1.1280E+06
270100.E-04,8.8001E+04,9.8001E+05
275100.E-04,7.2001E+04,6.8201E+05
280100.E-04,4.4000E+04,5.7001E+05
285100.E-04,2.2000E+04,4.5600E+05
290100.E-04,1.2000E+04,3.5600E+05
295100.E-04,2.0000E+04,2.5200E+05
300100.E-04,4.0000E+03,2.1200E+05
305100.E-04,8.0001E+03,1.6400E+05
310100.E-04,0.0000E+00,1.2200E+05
315100.E-04,2.0000E+03,1.0000E+05
320100.E-04,0.0000E+00,7.0001E+04
325100.E-04,0.0000E+00,4.8000E+04
330100.E-04,2.0000E+03,4.4000E+04
335100.E-04,0.0000E+00,3.6000E+04
340100.E-04,0.0000E+00,2.4000E+04
345100.E-04,0.0000E+00,1.6000E+04
350100.E-04,0.0000E+00,8.0001E+03
355100.E-04,0.0000E+00,1.6000E+04
360100.E-04,0.0000E+00,1.0000E+04
365100.E-04,0.0000E+00,2.0000E+03
370100.E-04,0.0000E+00,6.0001E+03
375100.E-04,0.0000E+00,6.0001E+03
380100.E-04,0.0000E+00,4.0000E+03
385100.E-04,0.0000E+00,2.0000E+03
390100.E-04,0.0000E+00,0.0000E+00
395100.E-04,0.0000E+00,0.0000E+00
400100.E-04,0.0000E+00,0.0000E+00
405100.E-04,0.0000E+00,0.0000E+00
410100.E-04,0.0000E+00,0.0000E+00
415100.E-04,0.0000E+00,2.0000E+03
420100.E-04,0.0000E+00,0.0000E+00
425100.E-04,0.0000E+00,0.0000E+00
430100.E-04,0.0000E+00,0.0000E+00
435100.E-04,0.0000E+00,0.0000E+00
440100.E-04,0.0000E+00,0.0000E+00
445100.E-04,0.0000E+00,0.0000E+00
450100.E-04,0.0000E+00,0.0000E+00
455100.E-04,0.0000E+00,0.0000E+00
460100.E-04,0.0000E+00,0.0000E+00
465100.E-04,0.0000E+00,0.0000E+00
470100.E-04,0.0000E+00,0.0000E+00
475100.E-04,0.0000E+00,0.0000E+00
480100.E-04,0.0000E+00,0.0000E+00
485100.E-04,0.0000E+00,0.0000E+00
490100.E-04,0.0000E+00,0.0000E+00
495100.E-04,0.0000E+00,0.0000E+00
500100.E-04,0.0000E+00,0.0000E+00
