   DEPTH         Si       Recoil     
201000.E-05  1.6105E+06  2.6628E+08
401000.E-05  2.0930E+06  2.3809E+08
601000.E-05  2.4065E+06  1.4483E+08
801000.E-05  2.5665E+06  1.5094E+08
100100.E-04  2.4945E+06  1.3007E+08
120100.E-04  2.3740E+06  1.0226E+08
140100.E-04  2.1440E+06  7.9658E+07
160100.E-04  1.8780E+06  6.1741E+07
180100.E-04  1.6025E+06  4.8248E+07
200100.E-04  1.3010E+06  3.6858E+07
220100.E-04  1.0755E+06  2.8533E+07
240100.E-04  7.7451E+05  2.1709E+07
260100.E-04  5.8701E+05  1.6526E+07
280100.E-04  4.2200E+05  1.2249E+07
300100.E-04  3.1450E+05  9.1551E+06
320100.E-04  2.2600E+05  6.7376E+06
340100.E-04  1.3800E+05  5.0516E+06
360100.E-04  9.4501E+04  3.7475E+06
380100.E-04  4.8001E+04  2.7620E+06
400100.E-04  3.2500E+04  2.1050E+06
420100.E-04  2.4500E+04  1.5860E+06
440100.E-04  1.8500E+04  1.1845E+06
460100.E-04  9.5001E+03  9.1001E+05
480100.E-04  5.5001E+03  6.5951E+05
500100.E-04  5.0001E+02  5.3351E+05
520100.E-04  2.5000E+03  4.1600E+05
540100.E-04  1.0000E+03  3.3050E+05
560100.E-04  5.0001E+02  2.2500E+05
580100.E-04  0.0000E+00  1.8000E+05
600100.E-04  0.0000E+00  1.3950E+05
620100.E-04  0.0000E+00  1.0000E+05
640100.E-04  0.0000E+00  7.7501E+04
660100.E-04  0.0000E+00  6.5001E+04
680100.E-04  0.0000E+00  4.9001E+04
700100.E-04  0.0000E+00  3.7500E+04
720100.E-04  0.0000E+00  3.0500E+04
740100.E-04  0.0000E+00  1.8500E+04
760100.E-04  0.0000E+00  1.5000E+04
780100.E-04  0.0000E+00  1.4000E+04
800100.E-04  0.0000E+00  7.5001E+03
820100.E-04  0.0000E+00  6.0001E+03
840100.E-04  0.0000E+00  4.5001E+03
860100.E-04  0.0000E+00  1.0000E+03
880100.E-04  0.0000E+00  1.0000E+03
900100.E-04  0.0000E+00  3.0000E+03
920100.E-04  0.0000E+00  2.0000E+03
940100.E-04  0.0000E+00  5.0001E+02
960100.E-04  0.0000E+00  5.0001E+02
980100.E-04  0.0000E+00  5.0001E+02
100010.E-03  0.0000E+00  5.0001E+02
102010.E-03  0.0000E+00  0.0000E+00
104010.E-03  0.0000E+00  0.0000E+00
106010.E-03  0.0000E+00  1.0000E+03
108010.E-03  0.0000E+00  0.0000E+00
110010.E-03  0.0000E+00  0.0000E+00
112010.E-03  0.0000E+00  0.0000E+00
114010.E-03  0.0000E+00  0.0000E+00
116010.E-03  0.0000E+00  0.0000E+00
118010.E-03  0.0000E+00  0.0000E+00
120010.E-03  0.0000E+00  0.0000E+00
122010.E-03  0.0000E+00  0.0000E+00
124010.E-03  0.0000E+00  0.0000E+00
126010.E-03  0.0000E+00  0.0000E+00
128010.E-03  0.0000E+00  0.0000E+00
130010.E-03  0.0000E+00  0.0000E+00
132010.E-03  0.0000E+00  0.0000E+00
134010.E-03  0.0000E+00  0.0000E+00
136010.E-03  0.0000E+00  0.0000E+00
138010.E-03  0.0000E+00  0.0000E+00
140010.E-03  0.0000E+00  0.0000E+00
142010.E-03  0.0000E+00  0.0000E+00
144010.E-03  0.0000E+00  0.0000E+00
146010.E-03  0.0000E+00  0.0000E+00
148010.E-03  0.0000E+00  0.0000E+00
150010.E-03  0.0000E+00  0.0000E+00
152010.E-03  0.0000E+00  0.0000E+00
154010.E-03  0.0000E+00  0.0000E+00
156010.E-03  0.0000E+00  0.0000E+00
158010.E-03  0.0000E+00  0.0000E+00
160010.E-03  0.0000E+00  0.0000E+00
162010.E-03  0.0000E+00  0.0000E+00
164010.E-03  0.0000E+00  0.0000E+00
166010.E-03  0.0000E+00  0.0000E+00
168010.E-03  0.0000E+00  0.0000E+00
170010.E-03  0.0000E+00  0.0000E+00
172010.E-03  0.0000E+00  0.0000E+00
174010.E-03  0.0000E+00  0.0000E+00
176010.E-03  0.0000E+00  0.0000E+00
178010.E-03  0.0000E+00  0.0000E+00
180010.E-03  0.0000E+00  0.0000E+00
182010.E-03  0.0000E+00  0.0000E+00
184010.E-03  0.0000E+00  0.0000E+00
186010.E-03  0.0000E+00  0.0000E+00
188010.E-03  0.0000E+00  0.0000E+00
190010.E-03  0.0000E+00  0.0000E+00
192010.E-03  0.0000E+00  0.0000E+00
194010.E-03  0.0000E+00  0.0000E+00
196010.E-03  0.0000E+00  0.0000E+00
198010.E-03  0.0000E+00  0.0000E+00
200010.E-03  0.0000E+00  0.0000E+00
