DEPTH,Ga,O,Si,C
5.51,0.09,0.31,0.29,0.00
11.01,0.13,0.35,0.33,0.00
16.51,0.13,0.42,0.41,0.00
22.01,0.14,0.49,0.49,0.00
27.51,0.14,0.57,0.55,0.00
33.01,0.14,0.61,0.62,0.00
38.51,0.15,0.67,0.65,0.00
44.01,0.15,0.73,0.70,0.00
49.51,0.16,0.71,0.70,0.00
55.01,0.30,0.06,0.06,1.81
60.51,0.29,0.00,0.00,1.94
66.01,0.30,0.00,0.00,1.98
71.51,0.33,0.00,0.00,1.96
77.01,0.33,0.00,0.00,2.11
82.51,0.32,0.00,0.00,2.12
88.01,0.34,0.00,0.00,2.26
93.51,0.34,0.00,0.00,2.23
99.01,0.35,0.00,0.00,2.28
104.51,0.35,0.00,0.00,2.22
110.01,0.34,0.00,0.00,2.31
115.51,0.36,0.00,0.00,2.29
121.01,0.36,0.00,0.00,2.29
126.51,0.36,0.00,0.00,2.32
132.01,0.35,0.00,0.00,2.26
137.51,0.33,0.00,0.00,2.14
143.01,0.31,0.00,0.00,2.04
148.51,0.29,0.00,0.00,1.97
154.01,0.26,0.00,0.00,1.80
159.51,0.27,0.00,0.00,1.74
165.01,0.24,0.00,0.00,1.53
170.51,0.22,0.00,0.00,1.45
176.01,0.20,0.00,0.00,1.32
181.51,0.18,0.00,0.00,1.24
187.01,0.16,0.00,0.00,1.05
192.51,0.14,0.00,0.00,0.89
198.01,0.12,0.00,0.00,0.79
203.51,0.10,0.00,0.00,0.73
209.01,0.08,0.00,0.00,0.62
214.51,0.07,0.00,0.00,0.50
220.01,0.06,0.00,0.00,0.43
225.51,0.05,0.00,0.00,0.39
231.01,0.05,0.00,0.00,0.38
236.51,0.03,0.00,0.00,0.30
242.01,0.03,0.00,0.00,0.25
247.51,0.02,0.00,0.00,0.17
253.01,0.01,0.00,0.00,0.15
258.51,0.01,0.00,0.00,0.12
264.01,0.00,0.00,0.00,0.09
269.51,0.00,0.00,0.00,0.08
275.01,0.00,0.00,0.00,0.06
280.51,0.01,0.00,0.00,0.05
286.01,0.00,0.00,0.00,0.05
291.51,0.00,0.00,0.00,0.03
297.01,0.00,0.00,0.00,0.03
302.51,0.00,0.00,0.00,0.03
308.01,0.00,0.00,0.00,0.02
313.51,0.00,0.00,0.00,0.02
319.01,0.00,0.00,0.00,0.01
324.51,0.00,0.00,0.00,0.01
330.01,0.00,0.00,0.00,0.01
335.51,0.00,0.00,0.00,0.01
341.01,0.00,0.00,0.00,0.01
346.51,0.00,0.00,0.00,0.00
352.01,0.00,0.00,0.00,0.00
357.51,0.00,0.00,0.00,0.00
363.01,0.00,0.00,0.00,0.00
368.51,0.00,0.00,0.00,0.00
374.01,0.00,0.00,0.00,0.00
379.51,0.00,0.00,0.00,0.00
385.01,0.00,0.00,0.00,0.00
390.51,0.00,0.00,0.00,0.00
396.01,0.00,0.00,0.00,0.00
401.51,0.00,0.00,0.00,0.00
407.01,0.00,0.00,0.00,0.00
412.51,0.00,0.00,0.00,0.00
418.01,0.00,0.00,0.00,0.00
423.51,0.00,0.00,0.00,0.00
429.01,0.00,0.00,0.00,0.00
434.51,0.00,0.00,0.00,0.00
440.01,0.00,0.00,0.00,0.00
445.51,0.00,0.00,0.00,0.00
451.01,0.00,0.00,0.00,0.00
456.51,0.00,0.00,0.00,0.00
462.01,0.00,0.00,0.00,0.00
467.51,0.00,0.00,0.00,0.00
473.01,0.00,0.00,0.00,0.00
478.51,0.00,0.00,0.00,0.00
484.01,0.00,0.00,0.00,0.00
489.51,0.00,0.00,0.00,0.00
495.01,0.00,0.00,0.00,0.00
500.51,0.00,0.00,0.00,0.00
506.01,0.00,0.00,0.00,0.00
511.51,0.00,0.00,0.00,0.00
517.01,0.00,0.00,0.00,0.00
522.51,0.00,0.00,0.00,0.00
528.01,0.00,0.00,0.00,0.00
533.51,0.00,0.00,0.00,0.00
539.01,0.00,0.00,0.00,0.00
544.51,0.00,0.00,0.00,0.00
550.01,0.00,0.00,0.00,0.00
